y_val,x_val,data_channel
0,0,156
0,1,153
0,2,155
0,3,162
0,4,164
0,5,160
0,6,159
0,7,163
0,8,153
0,9,154
0,10,155
0,11,155
0,12,154
0,13,153
0,14,151
0,15,150
0,16,134
0,17,130
0,18,128
0,19,129
0,20,128
0,21,127
0,22,129
0,23,133
0,24,145
0,25,147
0,26,146
0,27,141
0,28,140
0,29,142
0,30,139
0,31,132
0,32,131
0,33,135
0,34,137
0,35,138
0,36,144
0,37,152
0,38,155
0,39,154
0,40,150
0,41,155
0,42,160
0,43,163
0,44,162
0,45,160
0,46,158
0,47,158
0,48,164
0,49,164
0,50,165
0,51,166
0,52,163
0,53,157
0,54,156
0,55,159
0,56,153
0,57,152
0,58,157
0,59,160
0,60,156
0,61,156
0,62,158
0,63,153
0,64,147
0,65,139
0,66,137
0,67,139
0,68,140
0,69,146
0,70,150
0,71,146
0,72,154
0,73,157
0,74,156
0,75,151
0,76,145
0,77,142
0,78,138
0,79,133
0,80,141
0,81,149
0,82,150
0,83,155
0,84,149
0,85,130
0,86,117
0,87,99
0,88,93
0,89,98
0,90,95
0,91,87
0,92,87
0,93,99
0,94,108
0,95,110
0,96,105
0,97,111
0,98,107
0,99,100
0,100,76
0,101,45
0,102,34
0,103,26
0,104,32
0,105,33
0,106,53
0,107,95
0,108,135
0,109,147
0,110,131
0,111,112
0,112,119
0,113,91
0,114,89
0,115,89
0,116,82
0,117,78
0,118,70
0,119,67
0,120,71
0,121,84
0,122,93
0,123,87
0,124,69
0,125,55
0,126,54
0,127,60
0,128,59
0,129,62
0,130,73
0,131,93
0,132,119
0,133,145
0,134,167
0,135,180
0,136,171
0,137,171
0,138,170
0,139,169
0,140,170
0,141,172
0,142,173
0,143,173
0,144,178
0,145,181
0,146,186
0,147,189
1,0,145
1,1,145
1,2,150
1,3,157
1,4,157
1,5,151
1,6,151
1,7,156
1,8,154
1,9,153
1,10,152
1,11,151
1,12,150
1,13,148
1,14,144
1,15,141
1,16,147
1,17,143
1,18,139
1,19,139
1,20,135
1,21,130
1,22,128
1,23,130
1,24,146
1,25,152
1,26,155
1,27,153
1,28,154
1,29,155
1,30,149
1,31,139
1,32,133
1,33,135
1,34,139
1,35,147
1,36,154
