y_val,x_val,data_channel
1,87,92
82,36,47
35,12,166
116,121,106
74,3,134
52,117,161
130,39,80
144,128,141
0,144,178
139,37,117
110,52,79
52,55,57
74,37,95
23,58,151
174,26,174
147,24,108
147,2,87
85,65,171
20,2,155
127,104,94
57,8,131
134,114,170
32,28,132
165,57,144
154,134,77
114,74,155
165,115,101
131,45,100
115,117,80
79,50,59
123,68,176
7,74,122
42,69,64
152,9,112
6,143,193
29,123,169
130,21,80
24,54,158
64,57,45
17,45,132
170,144,180
45,111,176
2,135,171
27,78,80
99,140,93
114,54,153
62,111,188
92,83,170
9,146,184
109,145,58
9,5,165
86,75,184
158,108,168
74,80,95
58,105,181
10,132,157
131,94,66
12,68,103
64,80,128
18,5,159
0,15,150
125,128,173
83,29,88
78,87,177
164,18,79
93,19,104
68,55,73
8,122,55
66,64,126
7,10,156
95,29,55
108,83,183
131,43,66
118,70,151
64,23,129
23,24,169
111,111,90
103,25,79
140,73,133
73,31,50
115,12,98
64,32,100
161,142,182
81,54,106
105,99,181
11,51,134
74,39,85
49,3,140
164,73,113
27,43,133
1,95,107
9,40,156
100,122,100
8,30,160
161,26,181
144,96,128
39,76,85
35,91,86
32,55,104
64,65,93
92,65,151
67,145,191
67,71,63
130,88,89
110,96,142
147,1,83
3,17,142
122,126,169
141,81,161
120,102,70
27,63,132
4,123,61
153,147,180
42,5,149
18,96,54
145,119,145
50,100,166
7,31,161
86,92,168
162,118,119
65,144,186
88,135,93
67,75,61
26,37,143
89,80,183
45,53,87
81,28,84
51,128,172
98,42,89
111,52,89
1,121,76
76,26,120
154,15,96
109,120,70
116,105,60
111,108,93
107,0,103
72,0,154
132,60,159
105,13,75
170,22,182
52,44,80
114,1,34
111,108,93
133,110,152
33,95,92
14,106,81
67,32,73
101,3,116
95,118,130
53,18,126
151,20,100
100,25,70
68,2,145
127,106,95
132,118,167
101,94,177
168,39,168
110,79,145
70,56,72
48,79,106
102,141,100
92,97,168
0,20,128
156,70,149
124,0,94
154,14,108
44,117,174
137,89,49
13,109,87
114,121,128
149,145,130
12,100,91
20,122,161
159,116,149
111,139,70
43,97,72
135,44,123
53,53,71
58,13,143
22,47,158
159,116,149
3,61,143
55,7,136
145,69,167
148,97,166
33,122,156
14,117,69
77,80,187
52,100,135
171,79,179
25,18,156
11,113,92
4,104,131
13,55,116
103,3,121
148,136,110
89,135,102
58,58,103
98,31,71
161,49,152
127,56,147
116,85,185
129,100,81
41,97,80
83,81,175
15,47,114
129,29,110
147,51,174
10,5,157
106,96,183
37,106,64
149,9,92
142,120,180
82,52,86
36,26,161
107,81,128
141,63,163
172,4,77
103,66,151
78,22,140
30,69,62
116,59,153
93,95,163
89,65,181
73,78,97
148,68,151
34,136,178
109,50,113
161,12,78
57,9,135
115,32,50
101,110,178
119,83,174
117,120,92
84,78,183
161,54,160
90,128,80
111,65,145
149,63,153
104,0,119
38,92,76
103,65,150
114,103,137
49,85,122
116,48,79
163,48,150
36,3,170
63,5,116
157,80,106
14,20,156
64,15,135
11,66,106
58,83,156
164,67,138
146,147,132
73,102,190
57,147,136
101,127,70
120,79,163
116,94,158
72,28,101
136,83,88
84,146,113
139,8,95
40,115,179
16,131,170
80,147,83
149,58,156
87,99,173
49,147,103
89,17,115
109,109,92
173,83,146
72,0,154
123,14,93
81,4,64
157,124,110
105,8,43
24,20,160
153,90,163
56,49,62
118,111,96
118,107,69
141,77,77
149,120,162
149,114,169
95,58,166
73,117,118
44,90,81
175,26,168
39,13,155
133,2,107
15,68,146
90,40,89
4,98,22
41,10,137
175,0,72
170,33,175
160,128,80
92,38,78
10,47,159
129,124,153
95,29,55
31,132,179
34,139,178
144,47,171
125,55,148
29,128,181
77,138,84
53,27,115
24,53,156
98,6,140
23,48,156
146,27,114
68,8,131
105,28,98
82,70,172
86,126,150
103,67,154
156,23,93
107,32,107
143,33,105
111,99,104
78,129,158
81,0,119
141,117,178
20,42,142
48,21,84
170,42,172
150,54,170
40,125,134
10,100,95
76,53,76
167,10,95
100,11,60
127,74,165
50,100,166
30,32,122
165,54,147
124,28,90
158,111,158
32,87,70
58,31,137
170,53,150
21,7,160
37,104,65
33,94,91
60,118,150
66,51,87
114,136,111
77,121,175
171,105,138
150,42,182
72,1,156
125,103,65
87,108,185
52,57,54
36,100,78
4,9,144
31,47,153
124,123,164
71,70,52
159,147,190
170,22,182
27,68,93
168,122,75
54,28,122
59,2,147
102,111,168
7,52,144
118,94,166
128,98,80
164,100,159
94,43,94
166,78,161
170,68,149
161,19,102
126,14,68
90,75,171
164,31,167
8,16,163
112,125,61
16,134,188
129,121,157
132,84,75
106,78,161
52,106,158
140,9,109
79,62,121
50,119,169
169,129,149
19,141,181
156,121,135
175,141,164
154,101,175
129,98,71
101,144,67
94,116,168
33,62,67
85,70,170
111,61,164
138,92,69
159,132,77
35,98,94
153,96,180
54,129,131
171,71,115
29,141,176
88,34,82
167,73,139
69,121,145
77,32,58
87,33,71
105,122,88
144,16,75
129,135,176
43,108,184
45,24,95
94,42,108
11,135,175
44,29,129
92,121,91
46,76,116
34,106,62
29,29,120
47,122,180
168,31,136
17,31,131
10,102,106
50,128,177
98,49,151
145,19,123
139,20,105
17,43,129
170,131,186
162,18,103
33,6,154
47,105,172
121,70,160
82,23,101
41,40,140
24,69,85
158,145,189
91,81,174
146,130,147
122,131,179
151,74,90
17,50,141
69,124,186
25,26,92
125,32,102
29,147,181
125,135,179
82,59,125
80,127,189
2,83,129
17,76,81
163,50,162
46,25,87
75,138,132
40,90,74
42,56,79
135,138,138
145,141,92
66,124,158
47,102,172
129,135,176
101,56,177
65,94,107
32,94,77
78,97,161
5,78,109
116,30,58
114,31,73
74,31,56
11,65,96
61,71,69
37,89,94
166,3,80
172,138,192
79,114,150
146,32,112
6,56,155
92,103,164
155,38,172
4,140,174
170,120,113
18,127,119
32,17,158
58,25,136
86,82,180
48,92,80
96,105,195
158,45,150
109,77,153
158,33,156
0,42,160
165,80,161
2,16,139
45,74,86
164,135,188
55,46,75
2,77,150
4,129,134
109,134,135
53,36,128
40,16,156
44,133,175
102,27,83
37,40,107
56,57,60
168,45,171
74,72,124
36,52,109
27,60,130
61,50,71
32,27,130
20,34,156
19,72,74
66,91,108
11,94,38
90,122,157
12,112,110
175,99,155
85,64,166
141,118,181
109,70,163
144,76,114
20,2,155
7,146,184
135,121,153
56,48,54
12,111,99
94,8,139
172,76,160
106,99,167
25,120,95
71,19,129
150,51,170
64,44,59
103,50,175
151,3,54
107,57,152
172,35,162
54,21,131
107,69,165
17,83,41
125,56,141
138,98,86
137,26,86
74,10,101
109,98,138
21,2,156
168,90,170
83,126,187
150,25,86
107,34,138
25,145,177
38,2,161
133,2,107
70,99,146
44,133,175
161,116,144
168,8,81
29,1,146
41,83,96
120,110,85
129,145,171
171,141,176
57,90,157
52,17,124
104,45,144
131,98,81
61,103,174
1,26,155
117,101,70
25,143,174
34,27,150
33,34,155
78,73,176
13,59,121
63,119,170
66,40,47
22,100,102
59,137,162
9,140,188
37,65,71
145,9,60
2,106,124
43,114,166
37,3,169
169,18,171
131,32,114
145,96,131
154,130,94
82,56,85
166,71,95
53,57,56
115,22,112
70,37,43
38,0,159
34,127,173
74,84,102
121,66,150
118,127,90
92,55,151
99,30,72
144,124,164
37,40,107
77,13,83
0,71,146
66,51,87
61,67,98
23,48,156
113,127,53
162,139,193
75,68,159
87,128,79
149,26,93
84,35,68
121,108,80
72,126,183
132,70,165
148,75,117
139,3,95
23,74,99
53,40,84
76,132,173
9,57,138
131,90,116
145,18,120
36,77,76
83,22,80
0,52,163
83,126,187
24,63,131
60,50,78
120,115,115
168,89,169
94,133,120
74,35,56
140,102,149
102,23,70
66,136,102
168,124,83
164,3,93
143,111,175
149,43,183
61,2,112
30,0,147
6,130,165
139,122,173
121,23,109
146,125,148
65,45,68
1,123,55
68,6,145
162,133,64
154,107,159
134,71,145
80,86,175
7,97,28
121,115,136
32,44,162
98,105,188
19,111,75
128,88,102
119,26,87
137,76,129
140,0,78
23,21,159
118,26,58
165,19,114
61,131,161
72,84,113
55,66,115
103,142,62
172,48,155
172,17,168
110,24,78
119,140,164
62,62,86
136,130,165
158,6,81
45,17,122
125,128,173
136,16,94
159,138,186
173,142,166
133,125,160
80,75,186
170,67,148
85,85,161
88,108,193
142,44,136
49,108,150
90,81,183
86,112,193
143,91,116
5,35,148
84,102,146
147,37,126
93,118,126
57,19,133
167,22,163
14,108,94
106,61,145
166,126,56
102,111,168
77,46,82
72,13,119
126,38,68
0,114,89
60,44,123
59,125,153
134,113,170
140,7,100
34,89,76
57,25,138
139,24,83
173,34,178
58,19,139
163,106,157
89,96,172
53,93,102
172,142,171
120,63,127
1,97,110
163,54,158
71,26,94
41,104,87
94,115,179
163,54,158
104,147,45
28,18,126
109,63,129
81,118,190
116,144,177
102,13,51
145,44,148
64,110,180
137,20,106
92,123,68
16,44,116
42,72,86
2,85,101
102,104,164
140,37,124
69,21,144
144,91,109
50,86,142
152,100,182
161,42,160
82,21,81
121,44,84
159,65,164
140,118,180
130,130,173
66,113,176
129,140,172
30,16,133
97,13,54
32,6,150
105,127,96
121,43,91
154,127,92
91,95,175
83,145,112
159,147,190
147,135,135
127,48,78
122,7,100
74,85,110
149,30,97
122,103,73
0,61,156
136,51,141
49,12,105
66,18,114
34,42,159
32,104,99
116,14,92
153,69,173
69,124,186
47,133,152
24,28,103
57,95,157
46,145,86
98,108,156
3,60,147
48,104,177
68,40,39
162,86,162
76,126,197
103,108,161
79,74,176
84,121,159
71,116,117
141,17,62
10,51,149
76,90,107
132,69,162
105,66,160
137,67,99
91,10,88
136,133,143
79,127,185
21,67,123
9,117,101
98,31,71
111,25,91
97,3,125
94,126,69
14,82,124
159,59,108
55,83,131
133,65,148
124,118,117
153,68,161
102,95,184
100,114,168
10,12,160
102,136,82
159,36,168
46,134,165
134,132,175
55,2,158
115,63,133
135,41,139
56,25,138
115,116,75
40,86,106
151,121,126
74,105,180
58,66,117
88,139,108
87,98,155
