y_val,x_val,data_channel
0,0,52
0,1,53
0,2,43
0,3,32
0,4,31
0,5,33
0,6,34
0,7,35
0,8,27
0,9,26
0,10,26
0,11,30
0,12,26
0,13,27
0,14,38
0,15,34
0,16,27
0,17,31
0,18,39
0,19,43
0,20,40
0,21,35
0,22,35
0,23,38
0,24,32
0,25,33
0,26,32
0,27,34
0,28,42
0,29,45
0,30,44
0,31,43
0,32,35
0,33,40
0,34,44
0,35,95
0,36,143
0,37,174
0,38,178
0,39,167
0,40,170
0,41,175
0,42,174
0,43,170
0,44,171
0,45,172
0,46,172
0,47,177
0,48,172
0,49,173
0,50,170
0,51,170
0,52,171
0,53,172
0,54,174
0,55,170
0,56,168
0,57,169
0,58,171
0,59,172
0,60,173
0,61,172
0,62,170
0,63,167
0,64,170
0,65,173
0,66,174
0,67,174
0,68,174
0,69,170
0,70,170
0,71,175
0,72,172
0,73,170
0,74,170
0,75,172
0,76,172
0,77,169
0,78,169
0,79,170
0,80,167
0,81,169
0,82,169
0,83,170
0,84,172
0,85,170
0,86,167
0,87,166
0,88,169
0,89,170
0,90,168
0,91,167
0,92,169
0,93,169
0,94,166
0,95,166
0,96,168
0,97,169
0,98,170
0,99,169
0,100,168
0,101,168
1,0,44
1,1,47
1,2,45
1,3,42
1,4,42
1,5,42
1,6,35
1,7,29
1,8,31
1,9,28
1,10,26
1,11,29
1,12,25
1,13,27
1,14,36
1,15,33
1,16,27
1,17,24
1,18,24
1,19,30
1,20,36
1,21,35
1,22,30
1,23,27
1,24,29
1,25,29
1,26,26
1,27,26
1,28,30
1,29,36
1,30,40
1,31,42
1,32,43
1,33,41
1,34,34
1,35,65
1,36,114
1,37,160
1,38,167
1,39,164
1,40,171
1,41,173
1,42,168
1,43,166
1,44,172
1,45,171
1,46,165
1,47,170
1,48,172
1,49,173
1,50,168
1,51,168
1,52,170
1,53,169
1,54,169
1,55,169
1,56,168
1,57,169
1,58,170
1,59,172
1,60,173
1,61,171
1,62,169
1,63,167
1,64,172
1,65,173
1,66,172
1,67,172
1,68,172
1,69,171
1,70,172
1,71,175
1,72,171
1,73,169
1,74,168
1,75,169
1,76,168
1,77,167
1,78,167
1,79,168
1,80,167
1,81,168
1,82,170
1,83,172
1,84,174
1,85,171
1,86,168
1,87,168
1,88,172
1,89,172
1,90,170
1,91,168
1,92,170
1,93,171
1,94,170
1,95,170
1,96,170
1,97,170
1,98,169
1,99,167
1,100,167
1,101,168
2,0,48
2,1,53
2,2,60
2,3,64
2,4,65
2,5,64
2,6,56
2,7,45
2,8,46
2,9,41
2,10,34
2,11,33
2,12,29
2,13,28
2,14,33
2,15,28
2,16,21
2,17,23
2,18,25
2,19,30
2,20,37
2,21,37
2,22,35
2,23,37
2,24,36
2,25,35
2,26,34
2,27,34
2,28,35
2,29,38
2,30,41
2,31,41
2,32,46
2,33,40
2,34,29
2,35,49
2,36,94
2,37,147
2,38,167
2,39,172
2,40,169
2,41,167
2,42,171
2,43,171
2,44,168
2,45,169
2,46,168
2,47,169
2,48,170
2,49,169
2,50,166
2,51,168
2,52,169
2,53,168
2,54,170
2,55,169
2,56,166
2,57,166
2,58,169
2,59,172
2,60,173
2,61,171
2,62,170
2,63,170
2,64,172
2,65,170
2,66,169
2,67,168
2,68,168
2,69,171
2,70,174
2,71,174
2,72,172
2,73,171
2,74,170
2,75,169
2,76,168
2,77,168
2,78,169
2,79,170
2,80,167
2,81,168
2,82,170
2,83,174
2,84,175
2,85,171
2,86,168
2,87,170
2,88,173
2,89,172
2,90,170
2,91,167
2,92,168
2,93,170
2,94,170
2,95,170
2,96,172
2,97,172
2,98,171
2,99,169
2,100,169
2,101,171
3,0,62
3,1,55
3,2,51
3,3,53
3,4,62
3,5,72
3,6,73
3,7,64
3,8,69
3,9,61
3,10,47
3,11,38
3,12,28
3,13,23
3,14,28
3,15,27
3,16,31
3,17,31
3,18,28
3,19,30
3,20,37
3,21,39
3,22,39
3,23,41
3,24,37
3,25,32
3,26,31
3,27,32
3,28,32
3,29,36
3,30,38
3,31,36
3,32,40
3,33,43
3,34,34
3,35,49
3,36,87
3,37,143
3,38,171
3,39,159
3,40,150
3,41,145
3,42,141
3,43,144
3,44,160
3,45,169
3,46,164
3,47,167
3,48,168
3,49,168
3,50,169
3,51,171
3,52,170
3,53,170
3,54,172
3,55,166
3,56,165
3,57,166
3,58,170
3,59,173
3,60,172
3,61,169
3,62,169
3,63,171
3,64,169
3,65,167
3,66,167
3,67,165
3,68,164
3,69,169
3,70,173
3,71,172
3,72,170
3,73,171
3,74,170
3,75,169
3,76,168
3,77,169
3,78,170
3,79,171
3,80,167
3,81,167
3,82,169
3,83,173
3,84,174
3,85,170
3,86,168
3,87,172
3,88,173
3,89,172
3,90,169
3,91,166
3,92,167
3,93,168
3,94,169
3,95,169
3,96,169
3,97,169
3,98,169
3,99,169
3,100,170
3,101,171
4,0,39
4,1,48
4,2,56
4,3,55
4,4,53
4,5,60
4,6,73
4,7,82
4,8,88
4,9,87
4,10,75
4,11,63
4,12,44
4,13,29
4,14,30
4,15,30
4,16,36
4,17,34
4,18,28
4,19,27
4,20,32
4,21,38
4,22,41
4,23,45
4,24,39
4,25,34
4,26,32
4,27,32
4,28,32
4,29,36
4,30,40
4,31,41
4,32,39
4,33,40
4,34,44
4,35,74
4,36,113
4,37,149
4,38,158
4,39,139
4,40,113
4,41,99
4,42,104
4,43,106
4,44,105
4,45,120
4,46,139
4,47,155
4,48,158
4,49,167
4,50,170
4,51,171
4,52,173
4,53,174
4,54,174
4,55,169
4,56,167
4,57,169
4,58,173
4,59,175
4,60,171
4,61,166
4,62,166
4,63,169
4,64,168
4,65,167
4,66,168
4,67,166
4,68,164
4,69,167
4,70,171
4,71,170
4,72,167
4,73,168
4,74,168
4,75,167
4,76,166
4,77,166
4,78,167
4,79,166
4,80,166
4,81,166
4,82,167
4,83,169
4,84,170
4,85,167
4,86,166
4,87,170
4,88,172
4,89,171
4,90,170
4,91,168
4,92,168
4,93,170
4,94,171
4,95,171
4,96,170
4,97,171
4,98,171
4,99,171
4,100,171
4,101,171
5,0,49
5,1,53
5,2,50
5,3,47
5,4,54
5,5,63
5,6,72
5,7,81
5,8,94
5,9,102
5,10,99
5,11,90
5,12,69
5,13,44
5,14,36
5,15,33
5,16,36
5,17,39
5,18,39
5,19,34
5,20,29
5,21,30
5,22,36
5,23,41
5,24,43
5,25,41
5,26,39
5,27,38
5,28,38
5,29,44
5,30,54
5,31,62
5,32,55
5,33,49
5,34,65
5,35,106
5,36,145
5,37,156
5,38,144
5,39,142
5,40,101
5,41,77
5,42,66
5,43,61
5,44,60
5,45,68
5,46,86
5,47,114
5,48,135
5,49,159
5,50,166
5,51,167
5,52,175
5,53,174
5,54,170
5,55,171
5,56,167
5,57,170
5,58,173
5,59,175
5,60,171
5,61,167
5,62,167
5,63,169
5,64,169
5,65,170
5,66,170
5,67,169
5,68,167
5,69,168
5,70,169
5,71,169
5,72,170
5,73,170
5,74,170
5,75,169
5,76,167
5,77,166
5,78,166
5,79,166
5,80,166
5,81,165
5,82,165
5,83,166
5,84,167
5,85,164
5,86,163
5,87,167
5,88,169
5,89,169
5,90,169
5,91,169
5,92,169
5,93,171
5,94,172
5,95,170
5,96,175
5,97,175
5,98,174
5,99,171
5,100,170
5,101,170
6,0,65
6,1,66
6,2,56
6,3,53
6,4,68
6,5,76
6,6,79
6,7,86
6,8,98
6,9,102
6,10,98
6,11,95
6,12,84
6,13,65
6,14,55
6,15,50
6,16,46
6,17,47
6,18,48
6,19,44
6,20,38
6,21,39
6,22,42
6,23,41
6,24,47
6,25,53
6,26,58
6,27,59
6,28,56
6,29,51
6,30,50
6,31,53
6,32,57
6,33,62
6,34,82
6,35,116
6,36,155
6,37,166
6,38,154
6,39,150
6,40,101
6,41,63
6,42,51
6,43,49
6,44,45
6,45,51
6,46,58
6,47,67
6,48,101
6,49,134
6,50,155
6,51,165
6,52,170
6,53,167
6,54,165
6,55,168
6,56,166
6,57,168
6,58,171
6,59,173
6,60,173
6,61,171
6,62,170
6,63,170
6,64,170
6,65,170
6,66,170
6,67,171
6,68,172
6,69,171
6,70,170
6,71,170
6,72,173
6,73,172
6,74,171
6,75,171
6,76,169
6,77,167
6,78,168
6,79,170
6,80,168
6,81,168
6,82,166
6,83,166
6,84,167
6,85,165
6,86,163
6,87,164
6,88,165
6,89,166
6,90,168
6,91,170
6,92,169
6,93,170
6,94,170
6,95,167
6,96,171
6,97,171
6,98,170
6,99,167
6,100,164
6,101,164
7,0,87
7,1,104
7,2,102
7,3,92
7,4,91
7,5,84
7,6,85
7,7,101
7,8,107
7,9,106
7,10,99
7,11,104
7,12,108
7,13,99
7,14,88
7,15,80
7,16,71
7,17,68
7,18,66
7,19,58
7,20,49
7,21,49
7,22,51
7,23,47
7,24,47
7,25,51
7,26,53
7,27,53
7,28,52
7,29,47
7,30,46
7,31,51
7,32,61
7,33,75
7,34,98
7,35,133
7,36,165
7,37,169
7,38,150
7,39,126
7,40,85
7,41,54
7,42,48
7,43,50
7,44,54
7,45,60
7,46,54
7,47,51
7,48,66
7,49,101
7,50,141
7,51,164
7,52,166
7,53,165
7,54,170
7,55,170
7,56,168
7,57,169
7,58,170
7,59,172
7,60,174
7,61,174
7,62,172
7,63,169
7,64,170
7,65,169
7,66,168
7,67,170
7,68,175
7,69,174
7,70,171
7,71,172
7,72,172
7,73,169
7,74,169
7,75,169
7,76,168
7,77,166
7,78,167
7,79,171
7,80,170
7,81,170
7,82,169
7,83,168
7,84,169
7,85,167
7,86,164
7,87,163
7,88,165
7,89,166
7,90,170
7,91,171
7,92,169
7,93,169
7,94,168
7,95,164
7,96,166
7,97,168
7,98,168
7,99,165
7,100,162
7,101,160
8,0,94
8,1,132
8,2,148
8,3,127
8,4,97
8,5,85
8,6,87
8,7,85
8,8,84
8,9,86
8,10,85
8,11,94
8,12,102
8,13,106
8,14,108
8,15,104
8,16,94
8,17,95
8,18,89
8,19,74
8,20,61
8,21,60
8,22,60
8,23,56
8,24,47
8,25,52
8,26,49
8,27,55
8,28,61
8,29,58
8,30,55
8,31,56
8,32,54
8,33,66
8,34,96
8,35,147
8,36,174
8,37,153
8,38,115
8,39,87
8,40,59
8,41,48
8,42,48
8,43,53
8,44,54
8,45,50
8,46,46
8,47,50
8,48,44
8,49,70
8,50,113
8,51,154
8,52,165
8,53,169
8,54,170
8,55,171
8,56,168
8,57,172
8,58,172
8,59,172
8,60,172
8,61,173
8,62,172
8,63,165
8,64,171
8,65,173
8,66,168
8,67,166
8,68,172
8,69,173
8,70,170
8,71,172
8,72,170
8,73,170
8,74,170
8,75,171
8,76,170
8,77,168
8,78,167
8,79,168
8,80,166
8,81,168
8,82,170
8,83,170
8,84,167
8,85,164
8,86,163
8,87,164
8,88,163
8,89,164
8,90,166
8,91,169
8,92,169
8,93,167
8,94,166
8,95,168
8,96,166
8,97,168
8,98,169
8,99,169
8,100,166
8,101,164
9,0,85
9,1,111
9,2,146
9,3,155
9,4,130
9,5,102
9,6,87
9,7,81
9,8,78
9,9,78
9,10,73
9,11,68
9,12,77
9,13,92
9,14,101
9,15,104
9,16,108
9,17,108
9,18,105
9,19,98
9,20,91
9,21,89
9,22,88
9,23,85
9,24,82
9,25,82
9,26,86
9,27,97
9,28,102
9,29,97
9,30,89
9,31,77
9,32,75
9,33,85
9,34,115
9,35,154
9,36,155
9,37,116
9,38,79
9,39,64
9,40,57
