y_val,x_val,data_channel
0,0,131
0,1,144
0,2,148
0,3,138
0,4,124
0,5,120
0,6,138
0,7,167
0,8,184
0,9,175
0,10,167
0,11,165
0,12,163
0,13,157
0,14,151
0,15,148
0,16,169
0,17,168
0,18,166
0,19,156
0,20,156
0,21,142
0,22,124
0,23,152
0,24,137
0,25,169
0,26,169
0,27,167
0,28,144
0,29,131
0,30,117
0,31,111
0,32,129
0,33,133
0,34,138
0,35,140
0,36,144
0,37,152
0,38,162
0,39,169
0,40,165
0,41,155
0,42,146
0,43,140
0,44,131
0,45,122
0,46,125
0,47,135
0,48,137
0,49,131
0,50,140
0,51,150
0,52,152
0,53,162
0,54,167
0,55,157
0,56,159
0,57,150
0,58,141
0,59,140
0,60,145
0,61,145
0,62,138
0,63,131
0,64,118
0,65,91
0,66,98
0,67,102
0,68,100
0,69,107
0,70,123
0,71,159
0,72,176
0,73,173
0,74,171
0,75,177
0,76,167
0,77,120
0,78,82
0,79,79
0,80,71
0,81,90
0,82,107
0,83,120
0,84,135
0,85,145
0,86,151
0,87,159
0,88,176
0,89,168
0,90,155
0,91,142
0,92,138
0,93,142
1,0,132
1,1,151
1,2,162
1,3,154
1,4,138
1,5,128
1,6,142
1,7,169
1,8,174
1,9,162
1,10,151
1,11,152
1,12,158
1,13,152
1,14,130
1,15,110
1,16,112
1,17,120
1,18,130
1,19,129
1,20,137
1,21,134
1,22,128
1,23,157
1,24,149
1,25,165
1,26,163
1,27,176
1,28,161
1,29,143
1,30,125
1,31,120
1,32,124
1,33,135
1,34,148
1,35,157
1,36,165
1,37,170
1,38,171
1,39,169
1,40,170
1,41,167
1,42,161
1,43,151
1,44,139
1,45,129
1,46,120
1,47,114
1,48,123
1,49,130
1,50,142
1,51,141
1,52,139
1,53,157
1,54,169
1,55,160
1,56,153
1,57,153
1,58,152
1,59,153
1,60,154
1,61,150
1,62,135
1,63,121
1,64,122
1,65,121
1,66,133
1,67,132
1,68,123
1,69,124
1,70,126
1,71,131
1,72,165
1,73,170
1,74,174
1,75,179
1,76,175
1,77,143
1,78,94
1,79,60
1,80,70
1,81,94
1,82,115
1,83,124
1,84,126
1,85,123
1,86,128
1,87,141
1,88,160
1,89,162
1,90,165
1,91,164
1,92,159
1,93,153
2,0,143
2,1,153
2,2,158
2,3,161
2,4,161
2,5,155
2,6,154
2,7,162
2,8,166
2,9,153
2,10,138
2,11,134
2,12,140
2,13,138
2,14,116
2,15,90
2,16,68
2,17,86
2,18,106
2,19,115
2,20,128
2,21,129
2,22,125
2,23,145
2,24,157
2,25,169
2,26,166
2,27,180
2,28,168
2,29,156
2,30,139
2,31,128
2,32,124
2,33,133
2,34,142
2,35,147
2,36,157
2,37,168
2,38,169
2,39,163
2,40,169
2,41,175
2,42,175
2,43,167
2,44,160
2,45,151
2,46,133
2,47,115
2,48,117
2,49,125
2,50,136
2,51,136
2,52,133
2,53,143
2,54,153
2,55,149
2,56,151
2,57,152
2,58,151
2,59,150
2,60,154
2,61,148
2,62,123
2,63,96
2,64,95
2,65,118
2,66,134
2,67,138
2,68,134
2,69,139
2,70,141
2,71,123
2,72,134
2,73,151
2,74,164
2,75,161
2,76,155
2,77,151
2,78,124
2,79,87
2,80,68
2,81,89
2,82,112
2,83,126
2,84,127
2,85,117
2,86,117
2,87,130
2,88,136
2,89,141
2,90,151
2,91,160
2,92,164
2,93,162
3,0,149
3,1,150
3,2,149
3,3,156
3,4,170
3,5,172
3,6,164
3,7,162
3,8,163
3,9,161
3,10,152
3,11,140
3,12,135
3,13,128
3,14,107
3,15,84
3,16,65
3,17,79
3,18,92
3,19,104
3,20,121
3,21,129
3,22,129
3,23,138
3,24,151
3,25,173
3,26,171
3,27,168
3,28,146
3,29,147
3,30,141
3,31,124
3,32,122
3,33,127
3,34,127
3,35,127
3,36,139
3,37,158
3,38,165
3,39,161
3,40,167
3,41,173
3,42,177
3,43,178
3,44,178
3,45,172
3,46,155
3,47,137
3,48,133
3,49,120
3,50,119
3,51,131
3,52,138
3,53,136
3,54,137
3,55,140
3,56,147
3,57,143
3,58,135
3,59,135
3,60,148
3,61,151
3,62,125
3,63,91
3,64,78
3,65,97
3,66,105
3,67,122
3,68,129
3,69,137
3,70,149
3,71,131
3,72,109
3,73,127
3,74,153
3,75,159
3,76,150
3,77,143
3,78,120
3,79,82
3,80,75
3,81,84
3,82,99
3,83,120
3,84,132
3,85,124
3,86,116
3,87,120
3,88,119
3,89,117
3,90,116
3,91,121
3,92,135
3,93,150
4,0,144
4,1,149
4,2,148
4,3,150
4,4,159
4,5,163
4,6,165
4,7,171
4,8,166
4,9,173
4,10,174
4,11,165
4,12,151
4,13,132
4,14,103
4,15,77
4,16,70
4,17,70
4,18,69
4,19,85
4,20,112
4,21,132
4,22,144
4,23,148
4,24,143
4,25,166
4,26,165
4,27,153
4,28,113
4,29,111
4,30,121
4,31,119
4,32,123
4,33,126
4,34,125
4,35,124
4,36,136
4,37,155
4,38,165
4,39,164
4,40,169
4,41,170
4,42,173
4,43,179
4,44,182
4,45,177
4,46,168
4,47,160
4,48,155
4,49,125
4,50,100
4,51,105
4,52,125
4,53,133
4,54,132
4,55,135
4,56,131
4,57,132
4,58,130
4,59,133
4,60,148
4,61,158
4,62,144
4,63,121
4,64,98
4,65,95
4,66,94
4,67,120
4,68,129
4,69,124
4,70,133
4,71,123
4,72,115
4,73,109
4,74,124
4,75,145
4,76,149
4,77,139
4,78,114
4,79,85
4,80,90
4,81,91
4,82,97
4,83,115
4,84,129
4,85,121
4,86,110
4,87,110
4,88,117
4,89,115
4,90,102
4,91,88
4,92,94
4,93,114
5,0,149
5,1,151
5,2,144
5,3,142
5,4,152
5,5,159
5,6,162
5,7,166
5,8,172
5,9,175
5,10,174
5,11,169
5,12,161
5,13,145
5,14,116
5,15,92
5,16,67
5,17,63
5,18,63
5,19,90
5,20,121
5,21,138
5,22,151
5,23,147
5,24,145
5,25,154
5,26,155
5,27,150
5,28,96
5,29,77
5,30,98
5,31,120
5,32,139
5,33,135
5,34,128
5,35,122
5,36,126
5,37,140
5,38,154
5,39,161
5,40,170
5,41,169
5,42,172
5,43,177
5,44,180
5,45,178
5,46,177
5,47,178
5,48,168
5,49,141
5,50,95
5,51,72
5,52,90
5,53,113
5,54,117
5,55,112
5,56,115
5,57,128
5,58,139
5,59,142
5,60,146
5,61,152
5,62,151
5,63,144
5,64,113
5,65,95
5,66,97
5,67,127
5,68,133
5,69,118
5,70,114
5,71,111
5,72,121
5,73,106
5,74,111
5,75,131
5,76,138
5,77,128
5,78,117
5,79,110
5,80,101
5,81,105
5,82,110
5,83,118
5,84,124
5,85,117
5,86,111
5,87,116
5,88,122
5,89,128
5,90,118
5,91,91
5,92,75
5,93,79
6,0,153
6,1,153
6,2,146
6,3,143
6,4,153
6,5,160
6,6,160
6,7,160
6,8,173
6,9,170
6,10,167
6,11,165
6,12,159
6,13,146
6,14,127
6,15,113
6,16,84
6,17,81
6,18,83
6,19,113
6,20,132
6,21,135
6,22,145
6,23,138
6,24,146
6,25,146
6,26,146
6,27,146
6,28,90
6,29,67
6,30,89
6,31,113
6,32,143
6,33,137
6,34,130
6,35,123
6,36,119
6,37,123
6,38,136
6,39,149
6,40,165
6,41,173
6,42,177
6,43,175
6,44,174
6,45,177
