y_val,x_val,data_channel
1,110,158
97,47,134
41,67,54
138,39,188
87,80,56
62,63,97
1,19,54
130,82,137
62,1,181
87,114,72
27,87,48
101,20,165
23,87,52
67,69,53
38,14,182
135,71,153
137,12,106
93,117,57
8,110,153
50,35,95
8,31,31
35,40,124
28,106,43
76,29,185
20,61,63
54,21,147
3,56,39
32,74,42
118,42,182
135,51,184
74,37,171
109,74,141
11,103,163
130,27,189
10,87,171
102,53,137
88,32,175
69,64,67
12,112,169
14,94,158
76,52,53
21,44,55
0,15,38
98,63,168
93,6,147
110,33,170
80,119,85
10,56,54
78,82,118
8,46,45
112,89,189
128,67,188
140,34,171
75,120,77
27,53,49
132,39,185
122,19,158
86,85,59
136,32,182
76,4,180
96,42,166
125,14,164
13,54,57
87,116,77
58,5,180
32,39,64
1,118,161
10,122,151
119,47,155
9,89,161
46,98,54
42,21,189
38,41,146
76,37,180
109,56,178
80,61,60
79,112,53
131,1,154
3,86,36
142,112,95
32,59,54
5,90,161
49,96,57
22,10,165
60,0,166
8,67,48
102,70,183
78,14,130
105,34,187
79,116,65
31,10,152
106,2,177
53,88,100
96,16,157
61,51,43
116,46,177
131,105,128
2,19,50
90,24,182
130,2,162
138,23,157
132,36,186
126,86,133
85,31,150
124,53,148
61,115,57
134,123,128
132,36,186
39,104,33
17,53,55
79,73,120
119,76,142
113,53,184
62,112,45
118,75,129
80,66,86
120,42,183
130,109,114
83,41,160
57,58,130
121,112,105
109,88,140
0,20,49
53,4,192
16,33,35
135,118,146
15,1,187
24,82,81
132,67,170
51,86,100
63,22,176
68,97,32
26,53,54
4,5,85
65,22,164
40,6,183
17,64,96
91,101,54
62,46,191
29,93,45
13,116,165
5,71,35
15,104,44
121,122,152
106,57,92
69,17,177
116,35,185
138,3,185
49,40,58
98,115,158
18,17,193
11,110,156
126,34,185
44,82,46
97,63,179
42,104,45
127,42,181
122,60,189
92,66,98
36,9,184
137,102,141
110,109,64
105,112,146
87,7,165
41,43,71
129,57,176
67,70,51
136,52,185
120,58,185
141,70,184
139,61,190
100,10,157
107,73,159
131,118,145
123,17,156
45,91,34
122,59,184
135,100,145
58,87,118
137,91,129
42,81,54
74,79,177
16,92,136
75,112,47
13,69,38
69,42,128
87,31,171
68,83,38
120,75,142
142,89,173
138,12,119
85,59,46
100,78,114
48,35,83
19,124,25
95,112,45
103,100,128
59,24,78
105,64,154
129,116,146
85,31,150
95,117,61
124,48,185
28,72,45
66,87,42
140,75,127
140,71,187
112,118,143
87,46,109
52,102,125
46,35,77
18,38,51
106,110,150
5,65,45
48,78,91
109,29,182
12,27,28
112,89,189
37,95,42
41,46,96
35,45,109
92,34,191
62,121,54
28,105,40
116,10,174
27,77,114
80,72,124
124,68,183
97,81,147
102,104,131
122,61,191
126,118,135
132,27,187
93,48,115
95,113,53
24,2,137
57,0,184
48,45,70
12,80,45
90,51,96
118,61,184
60,0,166
35,97,35
38,73,50
68,115,63
24,115,48
44,80,45
39,103,37
71,123,71
78,69,35
136,8,159
92,17,182
85,32,144
103,109,132
62,3,167
43,53,37
4,101,164
37,10,185
84,78,57
32,64,46
64,20,168
69,109,35
121,82,141
8,88,164
140,58,182
111,80,150
107,20,179
9,75,27
133,76,186
20,2,135
126,16,119
62,52,48
94,4,122
60,19,191
23,78,114
120,92,135
112,28,182
39,71,48
101,25,154
131,114,142
42,28,94
64,121,65
35,58,60
104,58,148
82,83,70
91,53,99
103,34,188
125,37,176
51,97,136
53,59,70
111,79,148
14,13,197
52,41,86
109,112,123
55,9,182
41,13,190
34,71,43
56,78,137
20,47,59
12,82,91
60,28,62
116,53,183
20,59,60
39,15,187
56,61,133
143,103,142
97,34,184
48,108,38
28,121,44
108,49,184
20,66,84
82,86,59
29,101,36
35,64,47
97,70,184
95,92,136
3,4,71
20,92,32
54,83,108
89,113,54
48,10,166
50,22,191
79,17,175
56,58,126
120,4,173
77,89,135
38,80,46
93,16,166
6,68,40
137,73,138
135,28,183
87,108,77
13,68,49
72,99,35
44,65,55
94,56,159
7,69,31
109,94,37
5,107,163
22,41,55
38,3,186
68,109,36
102,60,149
57,71,127
114,63,167
129,84,147
0,42,32
2,62,51
53,109,53
65,61,79
2,123,162
5,96,160
130,16,133
63,5,174
47,61,33
53,20,160
120,123,152
44,16,198
66,95,41
88,24,182
43,5,181
32,56,45
72,78,108
38,13,193
23,119,36
23,9,138
78,109,47
13,97,159
107,67,151
15,13,179
101,19,161
129,77,188
23,87,52
9,57,55
66,86,39
15,12,186
111,45,186
126,37,177
30,70,45
84,27,161
76,16,142
122,44,183
127,18,174
64,13,183
127,30,182
20,99,31
87,87,55
129,105,131
24,110,38
99,35,179
126,120,133
30,95,38
45,1,159
83,84,69
53,20,160
34,43,91
49,26,183
142,120,75
68,26,141
61,88,49
123,62,191
73,6,146
1,49,41
139,42,183
30,93,37
40,59,51
39,43,92
92,117,66
15,108,84
75,68,37
78,58,74
26,106,47
70,119,56
11,97,162
44,41,59
3,27,40
51,103,76
43,104,41
97,67,174
63,26,179
136,42,182
83,22,182
44,124,50
41,34,141
88,36,153
143,99,139
140,91,137
109,46,189
117,57,186
44,16,198
91,34,177
0,71,27
78,69,35
72,95,30
27,77,114
134,101,150
89,43,134
104,4,176
99,92,122
144,16,191
86,32,148
27,103,37
63,9,174
91,5,152
11,14,180
43,30,138
98,56,158
0,52,41
99,35,179
28,115,34
71,55,176
143,0,194
112,45,188
87,112,64
120,119,153
79,29,154
72,30,174
35,65,45
8,18,29
143,56,187
77,40,170
2,21,42
80,70,135
95,51,151
9,8,186
144,23,131
38,30,85
116,109,32
23,48,63
141,13,186
27,50,55
139,115,75
73,34,167
85,115,71
65,81,39
123,11,177
130,54,181
142,2,186
73,113,51
53,52,46
95,40,176
101,40,184
105,7,171
58,110,75
107,26,179
102,90,134
6,25,32
100,34,185
111,7,178
67,80,45
17,55,80
125,124,112
121,82,141
91,67,72
85,44,102
0,114,162
71,49,123
70,107,38
40,121,44
67,86,44
68,103,32
106,18,182
63,62,101
142,73,189
1,120,165
84,34,124
49,47,65
112,27,183
124,39,188
33,37,123
129,70,185
96,106,106
138,62,186
120,109,39
76,82,158
109,114,119
19,37,56
50,38,78
3,6,80
121,75,141
81,108,105
59,111,64
97,32,175
143,77,182
79,6,183
35,81,57
114,119,146
37,117,50
125,42,180
143,76,184
108,63,145
99,54,159
144,63,189
88,37,147
0,61,51
58,14,185
78,36,159
40,74,47
38,90,42
137,57,185
82,86,59
56,89,113
28,80,97
68,31,159
55,78,131
116,112,33
4,4,79
57,83,110
80,104,123
90,124,61
122,102,171
94,16,159
100,53,156
84,124,76
12,31,26
90,88,99
124,106,147
107,103,103
94,69,115
25,50,54
11,74,25
116,35,185
131,78,184
114,109,41
112,38,149
17,29,24
65,98,38
121,66,181
119,39,182
11,117,156
121,107,59
55,67,134
65,17,177
136,83,182
66,63,73
137,11,118
48,6,171
88,57,166
69,25,177
105,38,184
103,99,138
70,115,69
61,123,39
20,99,31
105,91,50
80,81,75
56,47,85
122,44,183
131,86,143
57,104,80
37,19,160
137,39,186
19,110,31
141,65,187
55,119,31
134,117,148
28,96,35
14,19,65
77,83,143
54,75,133
12,91,166
119,28,184
111,92,65
28,48,63
92,60,172
141,99,147
36,29,96
132,62,180
29,119,39
50,112,37
34,122,51
43,53,37
134,83,158
47,65,40
88,27,188
48,110,37
24,114,47
47,60,38
97,56,160
66,39,77
139,34,181
41,33,115
0,18,54
15,122,96
3,97,163
85,107,125
61,17,188
10,69,60
47,111,34
25,74,106
32,64,46
1,39,31
35,75,49
132,11,140
98,25,188
