y_val,x_val,data_channel
0,0,52
0,1,57
0,2,57
0,3,51
0,4,47
0,5,45
0,6,47
0,7,50
0,8,56
0,9,59
0,10,61
0,11,57
0,12,57
0,13,64
0,14,65
0,15,60
0,16,52
0,17,47
0,18,48
0,19,50
0,20,55
0,21,54
0,22,58
0,23,61
0,24,54
0,25,63
0,26,74
0,27,105
0,28,139
0,29,170
0,30,182
0,31,182
0,32,175
0,33,177
0,34,182
0,35,183
0,36,176
0,37,176
0,38,177
0,39,178
0,40,175
0,41,179
0,42,183
0,43,184
0,44,183
0,45,180
0,46,176
0,47,172
0,48,172
0,49,175
0,50,177
0,51,176
0,52,174
0,53,175
0,54,177
0,55,177
0,56,179
0,57,178
0,58,177
0,59,177
0,60,179
0,61,181
0,62,180
0,63,179
0,64,175
0,65,172
0,66,170
0,67,171
0,68,173
0,69,174
0,70,177
0,71,179
0,72,177
0,73,176
0,74,175
0,75,174
0,76,175
0,77,176
0,78,177
0,79,178
0,80,177
0,81,176
0,82,176
0,83,178
0,84,178
0,85,176
0,86,176
0,87,178
0,88,177
0,89,179
0,90,178
0,91,181
0,92,182
0,93,180
0,94,182
0,95,180
0,96,177
0,97,177
0,98,175
0,99,175
0,100,176
0,101,179
0,102,181
1,0,58
1,1,60
1,2,58
1,3,54
1,4,54
1,5,54
1,6,53
1,7,53
1,8,57
1,9,60
1,10,58
1,11,50
1,12,46
1,13,52
1,14,55
1,15,51
1,16,52
1,17,49
1,18,50
1,19,48
1,20,48
1,21,44
1,22,48
1,23,53
1,24,63
1,25,56
1,26,45
1,27,61
1,28,89
1,29,119
1,30,146
1,31,170
1,32,182
1,33,185
1,34,183
1,35,181
1,36,177
1,37,177
1,38,176
1,39,174
1,40,179
1,41,181
1,42,181
1,43,179
1,44,178
1,45,180
1,46,179
1,47,176
1,48,174
1,49,176
1,50,177
1,51,177
1,52,176
1,53,177
1,54,179
1,55,179
1,56,178
1,57,178
1,58,177
1,59,176
1,60,178
1,61,180
1,62,179
1,63,178
1,64,176
1,65,174
1,66,174
1,67,175
1,68,177
1,69,177
1,70,178
1,71,178
1,72,180
1,73,180
1,74,180
1,75,179
1,76,178
1,77,178
1,78,178
1,79,178
1,80,178
1,81,177
1,82,177
1,83,179
1,84,180
1,85,179
1,86,178
1,87,178
1,88,176
1,89,179
1,90,179
1,91,180
1,92,178
1,93,176
1,94,179
1,95,179
1,96,181
1,97,180
1,98,177
1,99,174
1,100,173
1,101,174
1,102,176
2,0,55
2,1,56
2,2,54
2,3,52
2,4,54
2,5,56
2,6,55
2,7,54
2,8,54
2,9,52
2,10,49
2,11,44
2,12,41
2,13,45
2,14,49
2,15,49
2,16,56
2,17,53
2,18,54
2,19,50
2,20,47
2,21,42
2,22,45
2,23,49
2,24,52
2,25,60
2,26,56
2,27,58
2,28,64
2,29,73
2,30,96
2,31,125
2,32,164
2,33,179
2,34,181
2,35,178
2,36,180
2,37,180
2,38,181
2,39,178
2,40,177
2,41,179
2,42,178
2,43,176
2,44,176
2,45,179
2,46,178
2,47,175
2,48,175
2,49,176
2,50,176
2,51,176
2,52,176
2,53,177
2,54,178
2,55,178
2,56,177
2,57,177
2,58,177
2,59,176
2,60,177
2,61,179
2,62,179
2,63,178
2,64,179
2,65,178
2,66,178
2,67,180
2,68,181
2,69,180
2,70,179
2,71,177
2,72,181
2,73,182
2,74,182
2,75,180
2,76,178
2,77,177
2,78,177
2,79,178
2,80,178
2,81,177
2,82,177
2,83,179
2,84,181
2,85,180
2,86,178
2,87,176
2,88,176
2,89,180
2,90,181
2,91,181
2,92,178
2,93,176
2,94,177
2,95,178
2,96,177
2,97,178
2,98,178
2,99,176
2,100,174
2,101,173
2,102,174
3,0,53
3,1,55
3,2,53
3,3,50
3,4,50
3,5,51
3,6,51
3,7,51
3,8,44
3,9,38
3,10,36
3,11,38
3,12,40
3,13,41
3,14,44
3,15,46
3,16,57
3,17,55
3,18,56
3,19,53
3,20,53
3,21,47
3,22,49
3,23,50
3,24,53
3,25,53
3,26,48
3,27,56
3,28,63
3,29,59
3,30,66
3,31,86
3,32,134
3,33,166
3,34,183
3,35,181
3,36,180
3,37,176
3,38,179
3,39,177
3,40,182
3,41,184
3,42,182
3,43,179
3,44,178
3,45,180
3,46,178
3,47,174
3,48,171
3,49,171
3,50,172
3,51,174
3,52,176
3,53,177
3,54,177
3,55,177
3,56,176
3,57,177
3,58,177
3,59,177
3,60,177
3,61,178
3,62,178
3,63,177
3,64,180
3,65,179
3,66,179
3,67,180
3,68,181
3,69,181
3,70,179
3,71,177
3,72,178
3,73,179
3,74,178
3,75,176
3,76,174
3,77,174
3,78,176
3,79,177
3,80,176
3,81,175
3,82,175
3,83,176
3,84,178
3,85,179
3,86,177
3,87,174
3,88,177
3,89,179
3,90,181
3,91,181
3,92,179
3,93,177
3,94,176
3,95,174
3,96,176
3,97,178
3,98,178
3,99,177
3,100,175
3,101,174
3,102,173
4,0,42
4,1,47
4,2,48
4,3,46
4,4,47
4,5,48
4,6,48
4,7,49
4,8,41
4,9,39
4,10,40
4,11,42
4,12,43
4,13,43
4,14,43
4,15,41
4,16,50
4,17,50
4,18,54
4,19,53
4,20,53
4,21,48
4,22,48
4,23,49
4,24,48
4,25,57
4,26,59
4,27,56
4,28,55
4,29,58
4,30,67
4,31,72
4,32,96
4,33,141
4,34,176
4,35,181
4,36,182
4,37,178
4,38,183
4,39,182
4,40,181
4,41,181
4,42,179
4,43,175
4,44,175
4,45,179
4,46,180
4,47,178
4,48,179
4,49,179
4,50,179
4,51,180
4,52,181
4,53,180
4,54,178
4,55,176
4,56,176
4,57,177
4,58,177
4,59,177
4,60,178
4,61,178
4,62,178
4,63,177
4,64,180
4,65,179
4,66,177
4,67,177
4,68,177
4,69,177
4,70,176
4,71,175
4,72,175
4,73,177
4,74,177
4,75,174
4,76,172
4,77,173
4,78,175
4,79,176
4,80,174
4,81,173
4,82,172
4,83,173
4,84,176
4,85,178
4,86,177
4,87,176
4,88,178
4,89,177
4,90,176
4,91,176
4,92,177
4,93,178
4,94,175
4,95,171
4,96,175
4,97,175
4,98,174
4,99,173
4,100,173
4,101,175
4,102,176
5,0,44
5,1,48
5,2,47
5,3,45
5,4,45
5,5,43
5,6,41
5,7,39
5,8,38
5,9,42
5,10,45
5,11,43
5,12,39
5,13,40
5,14,39
5,15,34
5,16,43
5,17,46
5,18,52
5,19,52
5,20,51
5,21,45
5,22,46
5,23,47
5,24,55
5,25,55
5,26,57
5,27,56
5,28,53
5,29,52
5,30,61
5,31,63
5,32,81
5,33,118
5,34,162
5,35,178
5,36,184
5,37,180
5,38,182
5,39,181
5,40,181
5,41,181
5,42,179
5,43,177
5,44,178
5,45,181
5,46,184
5,47,184
5,48,185
5,49,184
5,50,184
5,51,184
5,52,183
5,53,180
5,54,177
5,55,175
5,56,176
5,57,177
5,58,177
5,59,177
5,60,178
5,61,179
5,62,178
5,63,177
5,64,178
5,65,177
5,66,176
5,67,173
5,68,173
5,69,173
5,70,174
5,71,174
5,72,176
5,73,178
5,74,179
5,75,177
5,76,176
5,77,176
5,78,177
5,79,176
5,80,174
5,81,173
5,82,173
5,83,173
5,84,175
5,85,177
5,86,179
5,87,180
5,88,181
5,89,178
5,90,175
5,91,173
5,92,176
5,93,179
5,94,177
5,95,174
5,96,171
5,97,171
5,98,171
5,99,171
5,100,173
5,101,176
5,102,178
6,0,48
6,1,50
6,2,47
6,3,44
6,4,44
6,5,45
6,6,44
6,7,44
6,8,42
6,9,45
6,10,47
6,11,44
6,12,39
6,13,40
6,14,41
6,15,39
6,16,41
6,17,44
6,18,52
6,19,52
6,20,52
6,21,47
6,22,48
6,23,48
6,24,49
6,25,55
6,26,63
6,27,62
6,28,59
6,29,57
6,30,63
6,31,58
6,32,76
6,33,95
6,34,142
6,35,170
6,36,186
6,37,182
6,38,181
6,39,178
6,40,180
6,41,180
6,42,180
6,43,179
6,44,177
6,45,177
6,46,177
6,47,178
6,48,178
6,49,177
6,50,177
6,51,178
6,52,179
6,53,178
6,54,176
6,55,176
6,56,176
6,57,176
6,58,177
6,59,177
6,60,179
6,61,180
6,62,178
6,63,176
6,64,177
6,65,178
6,66,177
6,67,175
6,68,173
6,69,173
6,70,174
6,71,174
6,72,176
6,73,179
6,74,179
6,75,178
6,76,177
6,77,178
6,78,179
6,79,177
6,80,176
6,81,176
6,82,176
6,83,176
6,84,176
6,85,175
6,86,177
6,87,181
6,88,181
6,89,179
6,90,179
6,91,175
6,92,176
6,93,180
6,94,178
6,95,177
6,96,176
6,97,176
6,98,175
6,99,173
6,100,173
6,101,174
6,102,174
7,0,48
7,1,49
7,2,45
7,3,40
7,4,39
7,5,42
7,6,46
7,7,49
7,8,45
7,9,41
7,10,40
7,11,41
7,12,39
7,13,38
7,14,41
7,15,44
7,16,42
7,17,44
7,18,50
7,19,52
7,20,55
7,21,52
7,22,52
7,23,50
7,24,52
7,25,54
7,26,62
7,27,67
7,28,66
7,29,59
7,30,67
7,31,68
7,32,73
7,33,77
7,34,126
7,35,164
7,36,186
7,37,183
7,38,179
7,39,177
7,40,178
7,41,179
7,42,179
7,43,180
7,44,178
7,45,177
7,46,178
7,47,180
7,48,180
7,49,178
7,50,178
7,51,178
7,52,178
7,53,177
7,54,176
7,55,177
7,56,176
7,57,176
7,58,176
7,59,177
7,60,179
7,61,180
7,62,178
7,63,175
7,64,178
7,65,180
7,66,180
7,67,178
7,68,176
7,69,176
7,70,176
7,71,176
7,72,175
7,73,177
7,74,177
7,75,175
7,76,175
7,77,178
7,78,179
7,79,178
7,80,180
7,81,179
7,82,179
7,83,179
7,84,176
7,85,173
7,86,175
7,87,179
7,88,177
7,89,178
7,90,182
7,91,177
7,92,176
7,93,178
7,94,176
7,95,177
7,96,180
7,97,180
7,98,177
7,99,173
7,100,171
7,101,172
7,102,175
8,0,42
8,1,50
8,2,50
8,3,46
8,4,39
8,5,38
8,6,47
8,7,50
8,8,43
8,9,40
8,10,39
8,11,41
8,12,40
8,13,37
8,14,42
8,15,51
8,16,40
8,17,43
8,18,46
8,19,52
8,20,53
8,21,51
8,22,54
8,23,56
8,24,51
8,25,58
8,26,61
8,27,68
8,28,62
8,29,53
8,30,61
8,31,63
8,32,66
8,33,69
8,34,101
8,35,139
8,36,169
8,37,181
8,38,181
8,39,180
8,40,177
8,41,177
8,42,176
8,43,177
8,44,180
8,45,181
8,46,180
8,47,182
8,48,181
8,49,180
8,50,180
8,51,180
8,52,179
8,53,177
8,54,176
8,55,177
8,56,177
8,57,178
8,58,177
8,59,175
8,60,177
8,61,181
8,62,180
8,63,175
8,64,178
8,65,180
8,66,181
8,67,180
8,68,178
8,69,178
8,70,179
8,71,180
8,72,178
8,73,176
8,74,175
8,75,176
8,76,177
8,77,177
8,78,178
8,79,179
8,80,178
8,81,181
8,82,179
8,83,178
8,84,175
8,85,170
8,86,174
8,87,175
8,88,168
8,89,173
8,90,173
8,91,175
8,92,173
8,93,178
8,94,174
8,95,171
8,96,175
8,97,183
8,98,180
8,99,175
8,100,173
8,101,172
8,102,177
9,0,56
9,1,48
9,2,49
9,3,54
9,4,47
9,5,40
9,6,43
9,7,43
9,8,46
9,9,47
9,10,48
9,11,47
9,12,43
9,13,41
9,14,44
9,15,49
9,16,45
9,17,42
9,18,41
9,19,48
9,20,50
9,21,47
9,22,52
9,23,59
9,24,61
9,25,64
9,26,65
9,27,64
9,28,59
9,29,58
9,30,63
9,31,64
9,32,69
9,33,63
9,34,78
9,35,107
9,36,143
9,37,175
9,38,181
9,39,182
9,40,181
9,41,179
9,42,175
9,43,174
9,44,177
9,45,177
9,46,176
9,47,177
9,48,177
9,49,176
9,50,175
9,51,176
9,52,176
9,53,176
9,54,176
9,55,177
9,56,177
9,57,176
9,58,176
9,59,177
9,60,178
9,61,179
9,62,179
9,63,177
9,64,180
9,65,180
9,66,179
9,67,179
9,68,179
9,69,179
9,70,179
9,71,179
9,72,179
9,73,178
9,74,177
9,75,178
9,76,178
9,77,176
9,78,174
9,79,173
9,80,174
9,81,176
9,82,175
9,83,175
9,84,174
9,85,174
9,86,176
9,87,176
9,88,170
9,89,171
9,90,171
9,91,174
9,92,174
9,93,177
9,94,173
9,95,171
9,96,170
9,97,175
9,98,175
9,99,176
9,100,177
9,101,175
9,102,177
10,0,69
10,1,46
10,2,43
10,3,50
10,4,43
10,5,37
10,6,42
10,7,48
10,8,47
10,9,51
10,10,54
10,11,52
10,12,48
10,13,47
10,14,45
10,15,43
10,16,45
10,17,40
10,18,38
10,19,46
10,20,49
10,21,47
10,22,53
10,23,59
10,24,61
10,25,64
10,26,69
10,27,66
10,28,64
10,29,70
10,30,70
10,31,69
10,32,72
10,33,60
10,34,63
10,35,85
10,36,127
10,37,174
10,38,180
10,39,181
10,40,179
10,41,178
10,42,175
10,43,175
10,44,178
10,45,180
10,46,180
10,47,180
10,48,177
10,49,175
10,50,175
10,51,177
10,52,179
10,53,179
10,54,179
10,55,179
10,56,175
10,57,174
10,58,175
10,59,179
10,60,180
10,61,177
10,62,177
10,63,178
10,64,180
10,65,178
10,66,176
10,67,176
10,68,177
10,69,178
10,70,178
10,71,176
10,72,174
10,73,174
10,74,175
10,75,177
10,76,178
10,77,176
