y_val,x_val,data_channel
0,0,163
0,1,164
0,2,163
0,3,159
0,4,165
0,5,172
0,6,170
0,7,167
0,8,166
0,9,164
0,10,167
0,11,169
0,12,176
0,13,170
0,14,160
0,15,147
0,16,140
0,17,137
0,18,132
0,19,132
0,20,133
0,21,142
0,22,145
0,23,155
0,24,164
0,25,181
0,26,185
0,27,190
0,28,182
0,29,174
0,30,163
0,31,172
0,32,176
0,33,189
0,34,191
0,35,190
0,36,186
0,37,186
0,38,187
0,39,187
0,40,186
0,41,173
0,42,154
0,43,137
0,44,123
0,45,118
0,46,121
0,47,128
0,48,133
0,49,149
0,50,158
0,51,165
0,52,171
0,53,176
0,54,180
0,55,191
0,56,195
0,57,197
0,58,198
0,59,196
0,60,194
0,61,192
0,62,188
0,63,184
0,64,179
0,65,175
0,66,173
0,67,180
0,68,177
0,69,172
0,70,160
0,71,149
0,72,137
0,73,127
0,74,119
0,75,118
0,76,119
0,77,118
0,78,122
0,79,132
0,80,137
0,81,135
0,82,125
0,83,115
0,84,114
0,85,114
0,86,112
0,87,114
0,88,113
0,89,102
0,90,92
0,91,84
0,92,81
0,93,80
0,94,77
0,95,76
0,96,76
0,97,81
0,98,82
0,99,91
0,100,97
0,101,96
0,102,103
0,103,110
0,104,101
0,105,112
0,106,116
0,107,120
0,108,105
0,109,90
0,110,81
0,111,83
0,112,80
0,113,77
0,114,77
0,115,80
0,116,82
0,117,84
0,118,85
0,119,83
0,120,79
0,121,77
0,122,75
0,123,76
0,124,74
0,125,73
0,126,81
0,127,84
0,128,87
0,129,95
0,130,97
0,131,94
0,132,90
0,133,92
0,134,97
0,135,94
0,136,90
0,137,90
0,138,99
0,139,99
0,140,96
0,141,99
0,142,100
0,143,99
0,144,92
0,145,95
0,146,94
0,147,96
0,148,64
0,149,112
1,0,154
1,1,154
1,2,153
1,3,151
1,4,158
1,5,167
1,6,164
1,7,161
1,8,160
1,9,158
1,10,159
1,11,159
1,12,163
1,13,156
1,14,146
1,15,133
1,16,124
1,17,122
1,18,117
1,19,117
1,20,119
1,21,127
1,22,129
1,23,138
1,24,153
1,25,172
1,26,177
1,27,179
1,28,169
1,29,161
1,30,154
1,31,165
1,32,176
1,33,189
1,34,192
1,35,191
1,36,185
1,37,186
1,38,185
1,39,183
1,40,180
1,41,165
1,42,143
1,43,123
1,44,109
1,45,104
1,46,110
1,47,117
1,48,127
1,49,145
1,50,156
1,51,165
1,52,170
1,53,175
1,54,176
1,55,186
1,56,190
1,57,191
1,58,192
1,59,192
1,60,192
1,61,189
1,62,182
1,63,175
1,64,165
1,65,164
1,66,166
1,67,173
1,68,168
1,69,160
1,70,144
1,71,132
1,72,118
1,73,107
1,74,96
1,75,95
1,76,99
1,77,103
1,78,110
1,79,121
1,80,123
1,81,118
1,82,106
1,83,96
1,84,94
1,85,95
1,86,97
1,87,96
1,88,94
1,89,83
1,90,71
1,91,58
1,92,52
1,93,51
1,94,50
1,95,53
1,96,55
1,97,57
1,98,61
1,99,68
1,100,72
1,101,73
1,102,78
1,103,84
1,104,83
1,105,95
1,106,98
1,107,97
1,108,80
1,109,65
1,110,58
1,111,61
1,112,62
1,113,56
1,114,50
1,115,49
1,116,51
1,117,54
1,118,54
1,119,51
1,120,48
1,121,43
1,122,37
1,123,38
1,124,38
1,125,40
1,126,50
1,127,56
1,128,62
1,129,68
1,130,69
1,131,65
1,132,62
1,133,67
1,134,73
1,135,71
1,136,68
1,137,69
1,138,76
1,139,75
1,140,72
1,141,75
1,142,76
1,143,74
1,144,75
1,145,70
1,146,67
1,147,65
1,148,24
1,149,85
2,0,157
2,1,156
2,2,156
2,3,155
2,4,164
2,5,172
2,6,169
2,7,166
2,8,157
2,9,158
2,10,161
2,11,163
2,12,165
2,13,156
2,14,143
2,15,129
2,16,125
2,17,122
2,18,119
2,19,118
2,20,121
2,21,127
2,22,127
2,23,133
2,24,144
2,25,163
2,26,170
2,27,170
2,28,160
2,29,156
2,30,155
2,31,169
2,32,183
2,33,197
2,34,199
2,35,198
2,36,192
2,37,192
2,38,190
2,39,187
2,40,183
2,41,169
2,42,148
2,43,128
2,44,115
2,45,113
2,46,120
2,47,129
2,48,139
2,49,155
2,50,166
2,51,175
2,52,179
2,53,182
2,54,183
2,55,190
2,56,190
2,57,189
2,58,189
2,59,191
2,60,193
2,61,189
2,62,177
2,63,165
2,64,157
2,65,161
2,66,168
2,67,175
2,68,167
2,69,154
2,70,134
2,71,122
2,72,112
2,73,101
2,74,90
2,75,91
2,76,101
2,77,110
2,78,120
2,79,129
2,80,126
2,81,119
2,82,106
2,83,100
2,84,98
2,85,99
2,86,104
2,87,100
2,88,97
2,89,91
2,90,79
2,91,65
2,92,60
2,93,61
2,94,64
2,95,71
2,96,69
2,97,68
2,98,71
2,99,74
2,100,75
2,101,77
2,102,78
2,103,80
2,104,86
2,105,97
2,106,100
2,107,97
2,108,81
2,109,70
2,110,68
2,111,73
2,112,75
2,113,69
2,114,63
2,115,59
2,116,58
2,117,61
2,118,61
2,119,57
2,120,56
2,121,49
2,122,45
2,123,48
2,124,50
2,125,52
2,126,61
2,127,67
2,128,69
2,129,73
2,130,72
2,131,68
2,132,67
2,133,72
2,134,80
2,135,78
2,136,78
2,137,80
2,138,85
2,139,83
2,140,81
2,141,85
2,142,84
2,143,80
2,144,76
2,145,77
2,146,75
2,147,71
2,148,28
2,149,96
3,0,150
3,1,151
3,2,153
3,3,155
3,4,161
3,5,167
3,6,163
3,7,160
3,8,155
3,9,156
3,10,158
3,11,160
3,12,161
3,13,154
3,14,143
3,15,132
3,16,125
3,17,122
3,18,120
3,19,119
3,20,120
3,21,123
3,22,122
3,23,124
3,24,127
3,25,142
3,26,147
3,27,147
3,28,141
3,29,144
3,30,152
3,31,167
3,32,181
3,33,196
3,34,198
3,35,197
3,36,192
3,37,192
3,38,189
3,39,185
3,40,185
3,41,175
3,42,160
3,43,145
3,44,135
3,45,133
3,46,140
3,47,147
3,48,155
3,49,167
3,50,174
3,51,180
3,52,180
3,53,183
3,54,184
3,55,189
3,56,190
3,57,189
3,58,188
3,59,190
3,60,191
3,61,184
3,62,169
3,63,155
3,64,146
3,65,155
3,66,165
3,67,170
3,68,159
3,69,142
3,70,119
3,71,109
3,72,101
3,73,94
3,74,86
3,75,91
3,76,103
3,77,114
3,78,123
3,79,128
3,80,113
3,81,105
3,82,97
3,83,99
3,84,98
3,85,97
3,86,103
3,87,100
3,88,93
3,89,88
3,90,78
3,91,65
3,92,61
3,93,63
3,94,66
3,95,75
3,96,71
3,97,68
3,98,72
3,99,73
3,100,73
3,101,78
3,102,78
3,103,77
3,104,81
3,105,89
3,106,88
3,107,81
3,108,68
3,109,60
3,110,61
3,111,64
3,112,68
3,113,67
3,114,66
3,115,62
3,116,60
3,117,61
3,118,60
3,119,55
3,120,48
3,121,44
3,122,42
3,123,48
3,124,50
3,125,51
3,126,59
3,127,65
3,128,69
3,129,70
3,130,67
3,131,63
3,132,61
3,133,66
3,134,74
3,135,72
3,136,76
3,137,78
3,138,80
3,139,81
3,140,83
3,141,86
3,142,83
3,143,76
3,144,78
3,145,77
3,146,70
3,147,60
3,148,13
3,149,92
4,0,146
4,1,151
4,2,157
4,3,160
4,4,164
4,5,165
4,6,160
4,7,159
4,8,158
4,9,158
4,10,157
4,11,156
4,12,153
4,13,148
4,14,138
4,15,130
4,16,124
4,17,121
4,18,122
4,19,118
4,20,118
4,21,118
4,22,116
4,23,116
4,24,118
4,25,126
4,26,129
4,27,130
4,28,131
4,29,141
4,30,156
4,31,171
4,32,185
4,33,198
4,34,200
4,35,199
4,36,195
4,37,197
4,38,194
4,39,189
4,40,190
4,41,184
4,42,175
4,43,165
4,44,159
4,45,157
4,46,161
4,47,165
4,48,171
4,49,178
4,50,181
4,51,184
4,52,181
4,53,183
4,54,183
4,55,187
4,56,190
4,57,189
4,58,190
4,59,191
4,60,190
4,61,181
4,62,165
4,63,152
4,64,144
4,65,155
4,66,164
4,67,163
4,68,147
4,69,128
4,70,104
4,71,99
4,72,94
4,73,93
4,74,89
4,75,96
4,76,109
4,77,116
4,78,120
4,79,119
4,80,97
4,81,88
4,82,87
4,83,95
4,84,95
4,85,93
4,86,98
4,87,98
4,88,93
4,89,85
4,90,74
4,91,63
4,92,61
4,93,64
4,94,69
4,95,78
4,96,77
4,97,72
4,98,73
4,99,70
4,100,68
4,101,72
4,102,70
4,103,68
4,104,73
4,105,75
4,106,72
4,107,66
4,108,60
4,109,58
4,110,63
4,111,63
4,112,60
4,113,61
4,114,62
4,115,61
4,116,60
4,117,59
4,118,55
4,119,48
4,120,46
4,121,43
4,122,43
4,123,49
4,124,51
4,125,54
4,126,64
4,127,72
4,128,73
4,129,72
4,130,66
4,131,60
4,132,58
4,133,62
4,134,70
4,135,68
4,136,72
4,137,75
4,138,76
4,139,80
4,140,88
4,141,91
4,142,85
4,143,76
4,144,79
4,145,72
4,146,68
4,147,60
4,148,6
4,149,92
5,0,146
5,1,153
5,2,162
5,3,165
5,4,166
5,5,164
5,6,160
5,7,161
5,8,165
5,9,163
5,10,158
5,11,153
5,12,145
5,13,139
5,14,129
5,15,122
5,16,123
5,17,121
5,18,123
5,19,117
5,20,115
5,21,114
5,22,115
5,23,115
5,24,111
5,25,113
5,26,116
5,27,122
5,28,131
5,29,146
5,30,163
5,31,177
5,32,188
5,33,198
5,34,198
5,35,198
5,36,197
5,37,199
5,38,196
5,39,193
5,40,196
5,41,192
5,42,187
5,43,182
5,44,179
5,45,179
5,46,182
5,47,184
5,48,183
5,49,187
5,50,189
5,51,191
5,52,187
5,53,189
5,54,188
5,55,188
5,56,189
5,57,190
5,58,192
5,59,194
5,60,191
5,61,180
5,62,165
5,63,154
5,64,148
5,65,157
5,66,161
5,67,151
5,68,130
5,69,110
5,70,89
5,71,90
5,72,91
5,73,95
5,74,95
5,75,105
5,76,117
5,77,120
5,78,118
5,79,109
5,80,85
5,81,78
5,82,81
5,83,89
5,84,90
5,85,90
5,86,93
5,87,94
5,88,89
5,89,77
5,90,66
5,91,59
5,92,58
5,93,64
5,94,72
5,95,82
5,96,80
5,97,75
5,98,71
5,99,67
5,100,64
5,101,65
5,102,63
5,103,61
5,104,58
5,105,57
5,106,54
5,107,51
5,108,52
5,109,55
5,110,65
5,111,65
5,112,63
5,113,60
5,114,58
5,115,57
5,116,58
5,117,58
5,118,52
5,119,43
5,120,42
5,121,42
5,122,44
5,123,51
5,124,55
5,125,59
5,126,70
5,127,76
5,128,77
5,129,75
5,130,67
5,131,60
5,132,56
5,133,61
5,134,69
5,135,69
5,136,69
5,137,73
5,138,74
5,139,81
5,140,92
5,141,93
5,142,87
5,143,79
5,144,81
5,145,71
5,146,64
5,147,56
5,148,7
5,149,92
6,0,149
6,1,155
6,2,163
6,3,165
6,4,164
6,5,161
