y_val,x_val,data_channel
0,0,102
0,1,141
0,2,151
0,3,158
0,4,169
0,5,164
0,6,163
0,7,168
0,8,164
0,9,152
0,10,142
0,11,140
0,12,147
0,13,161
0,14,175
0,15,186
0,16,181
0,17,182
0,18,183
0,19,182
0,20,181
0,21,183
0,22,184
0,23,184
0,24,182
0,25,185
0,26,186
0,27,181
0,28,179
0,29,180
0,30,181
0,31,181
0,32,177
0,33,183
0,34,175
0,35,175
0,36,179
0,37,162
0,38,151
0,39,164
0,40,172
0,41,163
0,42,151
0,43,143
0,44,139
0,45,137
0,46,132
0,47,128
0,48,127
0,49,134
0,50,136
0,51,147
0,52,164
0,53,177
0,54,187
0,55,192
0,56,191
0,57,189
0,58,178
0,59,175
0,60,177
0,61,182
0,62,188
0,63,186
0,64,175
0,65,175
0,66,178
0,67,176
0,68,160
0,69,140
0,70,118
0,71,93
0,72,77
0,73,87
0,74,85
0,75,103
0,76,113
0,77,99
0,78,92
0,79,87
0,80,86
0,81,108
0,82,111
0,83,105
0,84,96
0,85,95
0,86,104
0,87,93
0,88,86
0,89,102
0,90,96
0,91,88
0,92,98
0,93,107
0,94,100
0,95,87
0,96,95
0,97,120
0,98,117
0,99,137
0,100,160
0,101,170
0,102,169
0,103,176
0,104,176
0,105,179
0,106,172
0,107,176
0,108,178
0,109,177
0,110,185
0,111,180
0,112,176
0,113,174
0,114,175
0,115,173
0,116,165
0,117,146
0,118,129
0,119,133
0,120,139
0,121,141
0,122,134
0,123,138
0,124,149
0,125,152
0,126,146
0,127,140
0,128,126
0,129,110
0,130,98
0,131,92
0,132,83
0,133,82
0,134,91
0,135,91
0,136,92
0,137,94
0,138,79
0,139,73
0,140,83
0,141,104
0,142,138
0,143,177
0,144,190
0,145,187
0,146,180
0,147,180
0,148,176
0,149,186
1,0,71
1,1,90
1,2,117
1,3,139
1,4,158
1,5,161
1,6,149
1,7,147
1,8,158
1,9,156
1,10,148
1,11,138
1,12,134
1,13,141
1,14,153
1,15,159
1,16,163
1,17,170
1,18,177
1,19,178
1,20,174
1,21,176
1,22,183
1,23,187
1,24,187
1,25,183
1,26,182
1,27,182
1,28,179
1,29,177
1,30,176
1,31,175
1,32,178
1,33,176
1,34,167
1,35,160
1,36,136
1,37,113
1,38,133
1,39,164
1,40,165
1,41,166
1,42,164
1,43,156
1,44,143
1,45,132
1,46,125
1,47,123
1,48,137
1,49,141
1,50,135
1,51,130
1,52,137
1,53,152
1,54,173
1,55,186
1,56,191
1,57,189
1,58,177
1,59,158
1,60,149
1,61,164
1,62,183
1,63,185
1,64,175
1,65,165
1,66,161
1,67,166
1,68,165
1,69,156
1,70,136
1,71,108
1,72,88
1,73,80
1,74,72
1,75,78
1,76,83
1,77,75
1,78,66
1,79,61
1,80,63
1,81,67
1,82,73
1,83,88
1,84,95
1,85,102
1,86,101
1,87,77
1,88,71
1,89,79
1,90,94
1,91,102
1,92,110
1,93,110
1,94,89
1,95,72
1,96,96
1,97,106
1,98,103
1,99,115
1,100,135
1,101,159
1,102,164
1,103,172
1,104,179
1,105,168
1,106,166
1,107,169
1,108,170
1,109,167
1,110,165
1,111,172
1,112,177
1,113,172
1,114,170
1,115,169
1,116,164
1,117,150
1,118,136
1,119,133
1,120,141
1,121,141
1,122,136
1,123,136
1,124,142
1,125,148
1,126,147
1,127,136
1,128,123
1,129,107
1,130,97
1,131,92
1,132,81
1,133,78
1,134,88
1,135,92
1,136,91
1,137,78
1,138,66
1,139,65
1,140,56
1,141,56
1,142,89
1,143,138
1,144,175
1,145,187
1,146,183
1,147,179
1,148,174
1,149,183
2,0,57
2,1,59
2,2,90
2,3,118
2,4,139
2,5,151
2,6,143
2,7,140
2,8,145
2,9,155
2,10,157
2,11,150
2,12,136
2,13,130
2,14,136
2,15,135
2,16,130
2,17,138
2,18,153
2,19,164
2,20,170
2,21,176
2,22,185
2,23,190
2,24,184
2,25,183
2,26,184
2,27,184
2,28,179
2,29,175
2,30,178
2,31,180
2,32,174
2,33,176
2,34,155
2,35,127
2,36,96
2,37,96
2,38,139
2,39,167
2,40,173
2,41,175
2,42,175
2,43,171
2,44,160
2,45,147
2,46,135
2,47,128
2,48,150
2,49,156
2,50,146
2,51,132
2,52,130
2,53,143
2,54,165
2,55,179
2,56,182
2,57,189
2,58,185
2,59,160
2,60,142
2,61,149
2,62,167
2,63,178
2,64,183
2,65,176
2,66,168
2,67,164
2,68,161
2,69,162
2,70,162
2,71,152
2,72,124
2,73,98
2,74,74
2,75,73
2,76,82
2,77,79
2,78,71
2,79,69
2,80,66
2,81,59
2,82,61
2,83,73
2,84,83
2,85,97
2,86,108
2,87,101
2,88,80
2,89,80
2,90,98
2,91,116
2,92,119
2,93,104
2,94,87
2,95,84
2,96,90
2,97,100
2,98,104
2,99,99
2,100,110
2,101,151
2,102,166
2,103,168
2,104,170
2,105,164
2,106,166
2,107,173
2,108,168
2,109,152
2,110,151
2,111,168
2,112,176
2,113,176
2,114,176
2,115,174
2,116,168
2,117,161
2,118,156
2,119,148
2,120,141
2,121,135
2,122,135
2,123,141
2,124,144
2,125,149
2,126,147
2,127,131
2,128,116
2,129,101
2,130,90
2,131,94
2,132,93
2,133,85
2,134,80
2,135,74
2,136,84
2,137,73
2,138,66
2,139,66
2,140,57
2,141,59
2,142,76
2,143,99
2,144,143
2,145,180
2,146,187
2,147,182
2,148,176
2,149,183
3,0,60
3,1,52
3,2,62
3,3,85
3,4,108
3,5,126
3,6,136
3,7,135
3,8,132
3,9,140
3,10,143
3,11,146
3,12,136
3,13,125
3,14,126
3,15,121
3,16,115
3,17,123
3,18,135
3,19,147
3,20,155
3,21,166
3,22,179
3,23,188
3,24,185
3,25,182
3,26,179
3,27,179
3,28,176
3,29,175
3,30,176
3,31,172
3,32,170
3,33,166
3,34,141
3,35,121
3,36,117
3,37,131
3,38,160
3,39,175
3,40,179
3,41,177
3,42,176
3,43,177
3,44,175
3,45,164
3,46,148
3,47,135
3,48,147
3,49,157
3,50,153
3,51,141
3,52,135
3,53,139
3,54,154
3,55,165
3,56,187
3,57,188
3,58,179
3,59,161
3,60,153
3,61,155
3,62,162
3,63,179
3,64,194
3,65,192
3,66,182
3,67,176
3,68,176
3,69,178
3,70,181
3,71,181
3,72,156
3,73,126
3,74,89
3,75,83
3,76,88
3,77,78
3,78,73
3,79,74
3,80,72
3,81,60
3,82,53
3,83,53
3,84,58
3,85,70
3,86,83
3,87,91
3,88,99
3,89,97
3,90,93
3,91,113
3,92,122
3,93,95
3,94,72
3,95,65
3,96,66
3,97,90
3,98,103
3,99,87
3,100,87
3,101,136
3,102,163
3,103,164
3,104,161
3,105,160
3,106,167
3,107,174
3,108,173
3,109,151
3,110,133
3,111,150
3,112,162
3,113,171
3,114,172
3,115,171
3,116,169
3,117,167
3,118,166
3,119,159
3,120,149
3,121,143
3,122,140
3,123,142
3,124,146
3,125,154
3,126,151
3,127,129
3,128,122
3,129,110
3,130,92
3,131,89
3,132,91
3,133,79
3,134,64
3,135,56
3,136,65
3,137,69
3,138,70
3,139,64
3,140,57
3,141,65
3,142,70
3,143,73
3,144,103
3,145,157
3,146,183
3,147,188
3,148,181
3,149,186
4,0,55
4,1,51
4,2,51
4,3,63
4,4,75
4,5,86
4,6,109
4,7,127
4,8,135
4,9,135
4,10,128
4,11,130
4,12,129
4,13,123
4,14,126
4,15,124
4,16,131
4,17,147
4,18,160
4,19,159
4,20,155
4,21,157
4,22,172
4,23,187
4,24,186
4,25,180
4,26,167
4,27,161
4,28,155
4,29,150
4,30,149
4,31,146
4,32,147
4,33,137
4,34,124
4,35,127
4,36,148
4,37,165
4,38,172
4,39,180
4,40,177
4,41,177
4,42,178
4,43,180
4,44,179
4,45,171
4,46,157
4,47,147
4,48,145
4,49,154
4,50,153
4,51,147
4,52,142
4,53,140
4,54,150
4,55,161
4,56,176
4,57,181
4,58,183
4,59,176
4,60,177
4,61,177
4,62,176
4,63,185
4,64,193
4,65,196
4,66,187
4,67,186
4,68,194
4,69,193
4,70,188
4,71,185
4,72,173
4,73,150
4,74,121
4,75,100
4,76,80
4,77,64
4,78,63
4,79,67
4,80,68
4,81,60
4,82,54
4,83,47
4,84,46
4,85,55
4,86,64
4,87,71
4,88,92
4,89,91
4,90,82
4,91,99
4,92,117
4,93,101
4,94,71
4,95,49
4,96,48
4,97,67
4,98,78
4,99,71
4,100,72
4,101,111
4,102,150
4,103,166
4,104,163
4,105,159
4,106,174
4,107,172
4,108,174
4,109,150
4,110,104
4,111,118
4,112,151
4,113,165
4,114,167
4,115,170
4,116,175
4,117,176
4,118,174
4,119,168
4,120,162
4,121,162
4,122,151
4,123,137
4,124,140
4,125,159
4,126,159
4,127,135
4,128,135
4,129,132
4,130,121
4,131,110
4,132,96
4,133,84
4,134,79
4,135,75
4,136,61
4,137,65
4,138,71
4,139,72
4,140,63
4,141,58
4,142,54
4,143,61
4,144,80
4,145,128
4,146,164
4,147,186
4,148,186
4,149,189
5,0,52
5,1,49
5,2,57
5,3,61
5,4,57
5,5,52
5,6,68
5,7,99
5,8,119
5,9,126
5,10,123
5,11,121
5,12,118
5,13,114
5,14,118
5,15,123
5,16,140
5,17,166
5,18,178
5,19,169
5,20,160
5,21,157
5,22,165
5,23,180
5,24,186
5,25,181
5,26,161
5,27,146
5,28,136
5,29,128
5,30,131
5,31,134
5,32,130
5,33,128
5,34,134
5,35,143
5,36,160
5,37,175
5,38,176
5,39,178
5,40,178
5,41,178
5,42,179
5,43,180
5,44,179
5,45,176
5,46,171
5,47,167
5,48,160
5,49,159
5,50,152
5,51,152
5,52,155
5,53,153
5,54,156
5,55,162
5,56,169
5,57,182
5,58,193
5,59,188
5,60,182
5,61,185
5,62,185
5,63,181
5,64,183
5,65,194
5,66,194
5,67,194
5,68,195
5,69,190
5,70,185
5,71,184
5,72,184
5,73,169
5,74,157
5,75,118
5,76,77
5,77,64
5,78,62
5,79,66
5,80,68
5,81,67
5,82,70
5,83,62
5,84,50
5,85,59
5,86,76
5,87,81
5,88,82
5,89,71
5,90,68
5,91,84
5,92,104
5,93,107
5,94,87
5,95,63
5,96,64
5,97,58
5,98,54
5,99,59
5,100,65
5,101,85
5,102,126
5,103,155
5,104,166
5,105,165
5,106,172
5,107,173
5,108,178
5,109,154
5,110,109
5,111,111
5,112,139
5,113,155
5,114,164
5,115,170
5,116,177
5,117,176
5,118,172
5,119,171
5,120,171
5,121,175
5,122,164
5,123,147
5,124,145
5,125,156
5,126,155
5,127,136
5,128,132
5,129,131
5,130,132
5,131,124
5,132,103
5,133,91
5,134,87
5,135,75
5,136,61
5,137,63
5,138,67
5,139,68
5,140,64
5,141,61
5,142,56
5,143,65
5,144,83
5,145,109
5,146,141
5,147,174
5,148,185
5,149,193
6,0,67
6,1,47
6,2,52
6,3,58
6,4,55
6,5,48
6,6,44
6,7,58
6,8,81
6,9,101
6,10,116
6,11,122
6,12,121
6,13,111
6,14,109
6,15,119
6,16,145
6,17,168
6,18,171
6,19,159
6,20,158
6,21,158
6,22,157
6,23,163
6,24,175
6,25,181
6,26,162
6,27,146
6,28,144
6,29,142
6,30,143
6,31,140
6,32,144
6,33,152
6,34,166
6,35,176
6,36,178
6,37,177
6,38,176
6,39,178
6,40,178
6,41,176
6,42,174
6,43,173
6,44,175
6,45,176
6,46,176
6,47,175
6,48,169
6,49,163
6,50,153
6,51,156
6,52,163
6,53,161
6,54,159
6,55,158
6,56,158
6,57,168
