y_val,x_val,data_channel
0,0,178
0,1,173
0,2,177
0,3,178
0,4,176
0,5,176
0,6,176
0,7,177
0,8,176
0,9,177
0,10,177
0,11,176
0,12,173
0,13,172
0,14,172
0,15,174
0,16,175
0,17,175
0,18,175
0,19,175
0,20,176
0,21,176
0,22,176
0,23,175
0,24,174
0,25,171
0,26,169
0,27,170
0,28,172
0,29,174
0,30,174
0,31,173
0,32,174
0,33,176
0,34,178
0,35,178
0,36,177
0,37,174
0,38,172
0,39,172
0,40,169
0,41,172
0,42,174
0,43,175
0,44,175
0,45,175
0,46,174
0,47,173
0,48,170
0,49,173
0,50,174
0,51,175
0,52,169
0,53,173
0,54,177
0,55,183
0,56,167
0,57,150
0,58,124
0,59,113
0,60,112
0,61,135
0,62,144
0,63,151
0,64,151
0,65,149
0,66,144
0,67,128
0,68,112
0,69,97
0,70,82
0,71,79
0,72,84
0,73,103
0,74,124
0,75,134
0,76,143
0,77,154
0,78,159
0,79,165
0,80,155
0,81,148
0,82,131
0,83,117
0,84,102
0,85,92
0,86,73
0,87,61
0,88,54
0,89,57
0,90,57
0,91,63
0,92,70
0,93,78
0,94,86
0,95,99
0,96,88
0,97,77
0,98,48
0,99,43
0,100,44
0,101,45
0,102,47
0,103,56
0,104,74
0,105,113
0,106,134
0,107,145
0,108,139
0,109,129
0,110,114
0,111,101
0,112,92
0,113,84
0,114,74
0,115,66
0,116,59
0,117,53
0,118,48
0,119,45
0,120,38
0,121,43
0,122,46
0,123,48
0,124,47
0,125,49
0,126,44
0,127,51
0,128,65
0,129,92
0,130,109
0,131,121
0,132,117
0,133,105
0,134,90
0,135,82
0,136,70
0,137,62
0,138,61
0,139,66
0,140,74
0,141,71
0,142,71
0,143,72
0,144,66
0,145,66
0,146,60
0,147,56
0,148,49
0,149,60
1,0,180
1,1,174
1,2,177
1,3,178
1,4,176
1,5,177
1,6,177
1,7,176
1,8,175
1,9,176
1,10,176
1,11,175
1,12,174
1,13,173
1,14,173
1,15,174
1,16,175
1,17,175
1,18,174
1,19,175
1,20,176
1,21,176
1,22,175
1,23,174
1,24,173
1,25,171
1,26,169
1,27,169
1,28,171
1,29,172
1,30,173
1,31,172
1,32,174
1,33,176
1,34,177
1,35,178
1,36,176
1,37,173
1,38,171
1,39,170
1,40,169
1,41,172
1,42,174
1,43,175
1,44,175
1,45,175
1,46,174
1,47,173
1,48,169
1,49,173
1,50,176
1,51,177
1,52,171
1,53,173
1,54,175
1,55,177
1,56,160
1,57,140
1,58,113
1,59,102
1,60,101
1,61,121
1,62,128
1,63,133
1,64,125
1,65,118
1,66,108
1,67,92
1,68,74
1,69,54
1,70,39
1,71,37
1,72,55
1,73,70
1,74,91
1,75,103
1,76,114
1,77,127
1,78,134
1,79,138
1,80,149
1,81,149
1,82,141
1,83,133
1,84,119
1,85,107
1,86,86
1,87,72
1,88,61
1,89,59
1,90,58
1,91,62
1,92,70
1,93,80
1,94,89
1,95,98
1,96,85
1,97,68
1,98,42
1,99,32
1,100,30
1,101,35
1,102,41
1,103,60
1,104,106
1,105,139
1,106,158
1,107,162
1,108,150
1,109,133
1,110,118
1,111,104
1,112,90
1,113,82
1,114,72
1,115,64
1,116,58
1,117,50
1,118,43
1,119,40
1,120,35
1,121,38
1,122,40
1,123,44
1,124,42
1,125,40
1,126,38
1,127,50
1,128,70
1,129,96
1,130,110
1,131,116
1,132,111
1,133,98
1,134,83
1,135,77
1,136,65
1,137,59
1,138,60
1,139,66
1,140,72
1,141,66
1,142,62
1,143,60
1,144,58
1,145,57
1,146,52
1,147,50
1,148,45
1,149,57
2,0,182
2,1,175
2,2,176
2,3,178
2,4,177
2,5,179
2,6,177
2,7,176
2,8,175
2,9,175
2,10,176
2,11,175
2,12,175
2,13,175
2,14,175
2,15,175
2,16,176
2,17,175
2,18,174
2,19,175
2,20,175
2,21,176
2,22,175
2,23,174
2,24,174
2,25,172
2,26,171
2,27,170
2,28,170
2,29,171
2,30,172
2,31,172
2,32,174
2,33,175
2,34,177
2,35,176
2,36,174
2,37,171
2,38,169
2,39,167
2,40,169
2,41,171
2,42,174
2,43,175
2,44,175
2,45,175
2,46,175
2,47,173
2,48,168
2,49,173
2,50,175
2,51,175
2,52,171
2,53,173
2,54,172
2,55,169
2,56,148
2,57,124
2,58,96
2,59,86
2,60,84
2,61,98
2,62,98
2,63,98
2,64,87
2,65,78
2,66,67
2,67,56
2,68,46
2,69,37
2,70,32
2,71,34
2,72,39
2,73,49
2,74,68
2,75,81
2,76,90
2,77,102
2,78,107
2,79,106
2,80,120
2,81,133
2,82,144
2,83,148
2,84,140
2,85,128
2,86,105
2,87,88
2,88,69
2,89,61
2,90,56
2,91,59
2,92,70
2,93,85
2,94,97
2,95,102
2,96,93
2,97,71
2,98,49
2,99,36
2,100,32
2,101,37
2,102,52
2,103,81
2,104,134
2,105,159
2,106,173
2,107,167
2,108,150
2,109,128
2,110,118
2,111,106
2,112,98
2,113,92
2,114,82
2,115,74
2,116,68
2,117,59
2,118,49
2,119,45
2,120,39
2,121,37
2,122,39
2,123,45
2,124,42
2,125,37
2,126,39
2,127,56
2,128,80
2,129,106
2,130,116
2,131,118
2,132,111
2,133,98
2,134,83
2,135,78
2,136,69
2,137,62
2,138,65
2,139,71
2,140,75
2,141,65
2,142,58
2,143,54
2,144,54
2,145,54
2,146,50
2,147,50
2,148,48
2,149,61
3,0,182
3,1,175
3,2,177
3,3,179
3,4,178
3,5,179
3,6,178
3,7,177
3,8,175
3,9,175
3,10,176
3,11,176
3,12,176
3,13,176
3,14,176
3,15,176
3,16,176
3,17,175
3,18,175
3,19,175
3,20,176
3,21,176
3,22,176
3,23,175
3,24,174
3,25,174
3,26,173
3,27,172
3,28,171
3,29,171
3,30,172
3,31,173
3,32,174
3,33,175
3,34,176
3,35,175
3,36,173
3,37,170
3,38,168
3,39,166
3,40,169
3,41,171
3,42,174
3,43,175
3,44,176
3,45,176
3,46,175
3,47,174
3,48,171
3,49,175
3,50,174
3,51,172
3,52,170
3,53,172
3,54,170
3,55,161
3,56,138
3,57,112
3,58,87
3,59,79
3,60,77
3,61,84
3,62,79
3,63,74
3,64,65
3,65,59
3,66,47
3,67,37
3,68,33
3,69,35
3,70,36
3,71,36
3,72,36
3,73,38
3,74,53
3,75,65
3,76,74
3,77,86
3,78,88
3,79,82
3,80,100
3,81,120
3,82,140
3,83,150
3,84,151
3,85,145
3,86,129
3,87,115
3,88,94
3,89,79
3,90,70
3,91,68
3,92,78
3,93,95
3,94,108
3,95,106
3,96,93
3,97,70
3,98,53
3,99,42
3,100,38
3,101,40
3,102,65
3,103,99
3,104,150
3,105,163
3,106,171
3,107,158
3,108,140
3,109,121
3,110,118
3,111,111
3,112,102
3,113,99
3,114,90
3,115,81
3,116,74
3,117,62
3,118,50
3,119,46
3,120,40
3,121,37
3,122,39
3,123,44
3,124,41
3,125,36
3,126,44
3,127,64
3,128,85
3,129,109
3,130,117
3,131,117
3,132,112
3,133,100
3,134,82
3,135,78
3,136,71
3,137,65
3,138,65
3,139,69
3,140,72
3,141,61
3,142,54
3,143,50
3,144,52
3,145,53
3,146,52
3,147,53
3,148,51
3,149,64
4,0,181
4,1,175
4,2,178
4,3,179
4,4,177
4,5,178
4,6,178
4,7,178
4,8,176
4,9,176
4,10,177
4,11,177
4,12,177
4,13,177
4,14,177
4,15,177
4,16,176
4,17,175
4,18,175
4,19,176
4,20,177
4,21,177
4,22,176
4,23,176
4,24,174
4,25,174
4,26,174
4,27,173
4,28,172
4,29,172
4,30,173
4,31,174
4,32,175
4,33,175
4,34,175
4,35,174
4,36,172
4,37,170
4,38,168
4,39,167
4,40,170
4,41,172
4,42,173
4,43,174
4,44,175
4,45,176
4,46,176
4,47,175
4,48,173
4,49,178
4,50,176
4,51,172
4,52,173
4,53,174
4,54,170
4,55,154
4,56,126
4,57,99
4,58,77
4,59,72
4,60,73
4,61,77
4,62,70
4,63,63
4,64,52
4,65,48
4,66,41
4,67,37
4,68,39
4,69,44
4,70,47
4,71,46
4,72,42
4,73,38
4,74,47
4,75,55
4,76,60
4,77,69
4,78,69
4,79,61
4,80,74
4,81,102
4,82,134
4,83,151
4,84,160
4,85,161
4,86,151
4,87,138
4,88,115
4,89,97
4,90,88
4,91,82
4,92,90
4,93,106
4,94,118
4,95,110
4,96,92
4,97,71
4,98,56
4,99,49
4,100,46
4,101,45
4,102,79
4,103,112
4,104,155
4,105,156
4,106,155
4,107,140
4,108,127
4,109,113
4,110,115
4,111,112
4,112,109
4,113,108
4,114,100
4,115,89
4,116,78
4,117,64
4,118,51
4,119,45
4,120,39
4,121,38
4,122,40
4,123,43
4,124,42
4,125,40
4,126,54
4,127,72
4,128,92
4,129,110
4,130,118
4,131,118
4,132,114
4,133,102
4,134,82
4,135,76
4,136,70
4,137,64
4,138,63
4,139,63
4,140,64
4,141,55
4,142,49
4,143,46
4,144,50
4,145,53
4,146,54
4,147,56
4,148,53
4,149,65
5,0,181
5,1,175
5,2,178
5,3,179
5,4,177
5,5,178
5,6,178
5,7,178
5,8,177
5,9,178
5,10,178
5,11,178
5,12,177
5,13,177
5,14,177
5,15,177
5,16,176
5,17,176
5,18,176
5,19,177
5,20,178
5,21,177
5,22,176
5,23,175
5,24,172
5,25,173
5,26,173
5,27,173
5,28,172
5,29,173
5,30,174
5,31,175
5,32,176
5,33,175
5,34,174
5,35,172
5,36,170
5,37,170
5,38,170
5,39,170
5,40,171
5,41,172
5,42,172
5,43,172
5,44,173
5,45,175
5,46,175
5,47,175
5,48,171
5,49,177
5,50,176
5,51,173
5,52,177
5,53,178
5,54,171
5,55,148
5,56,120
5,57,94
5,58,76
5,59,71
5,60,72
5,61,77
5,62,72
5,63,65
5,64,55
5,65,48
5,66,40
5,67,39
5,68,39
5,69,39
5,70,41
5,71,39
5,72,38
5,73,37
5,74,48
5,75,57
5,76,60
5,77,64
5,78,62
5,79,56
5,80,69
5,81,98
5,82,129
5,83,143
5,84,154
5,85,160
5,86,160
5,87,153
5,88,144
5,89,127
5,90,116
5,91,103
5,92,106
5,93,115
5,94,122
5,95,109
5,96,90
5,97,68
5,98,55
5,99,50
5,100,49
5,101,48
5,102,88
5,103,117
5,104,150
5,105,142
5,106,131
5,107,120
5,108,114
5,109,109
5,110,110
5,111,110
5,112,113
5,113,110
5,114,104
5,115,93
5,116,77
5,117,61
5,118,47
5,119,38
5,120,38
5,121,39
5,122,42
5,123,45
5,124,47
5,125,49
5,126,67
5,127,83
5,128,97
5,129,108
5,130,114
5,131,113
5,132,107
5,133,95
5,134,75
5,135,69
5,136,69
5,137,65
5,138,64
5,139,61
5,140,60
5,141,53
5,142,48
5,143,44
5,144,51
5,145,54
5,146,55
5,147,57
5,148,54
5,149,66
6,0,182
6,1,176
6,2,177
6,3,178
6,4,177
6,5,178
6,6,177
6,7,176
6,8,177
6,9,178
6,10,179
6,11,178
6,12,177
6,13,176
6,14,177
6,15,178
6,16,177
6,17,177
6,18,177
6,19,178
6,20,178
6,21,177
6,22,175
6,23,173
6,24,171
6,25,172
6,26,173
6,27,174
6,28,174
6,29,175
6,30,175
6,31,176
6,32,177
6,33,175
6,34,172
6,35,170
6,36,169
6,37,170
6,38,171
6,39,173
6,40,173
6,41,172
6,42,171
6,43,170
6,44,170
6,45,172
6,46,174
6,47,174
6,48,169
6,49,176
6,50,174
6,51,171
6,52,176
6,53,175
6,54,165
6,55,136
6,56,108
6,57,84
6,58,70
6,59,65
6,60,67
6,61,72
6,62,70
6,63,64
6,64,50
6,65,44
6,66,38
6,67,39
6,68,40
6,69,41
6,70,43
6,71,40
6,72,36
6,73,40
6,74,54
6,75,60
6,76,58
6,77,57
6,78,55
6,79,52
6,80,64
6,81,96
6,82,130
6,83,142
6,84,153
6,85,162
6,86,170
6,87,168
6,88,158
6,89,143
6,90,130
6,91,111
6,92,111
6,93,117
6,94,123
6,95,109
6,96,90
6,97,64
6,98,57
6,99,51
6,100,54
6,101,57
6,102,95
6,103,121
6,104,139
6,105,124
6,106,106
6,107,102
6,108,107
6,109,112
6,110,112
6,111,116
6,112,117
6,113,112
6,114,107
6,115,96
6,116,79
6,117,63
6,118,48
6,119,34
6,120,34
6,121,36
6,122,40
6,123,44
6,124,51
6,125,55
6,126,76
6,127,90
6,128,106
6,129,111
6,130,114
6,131,111
6,132,102
6,133,91
6,134,75
6,135,72
6,136,71
6,137,70
6,138,69
6,139,62
6,140,59
6,141,53
6,142,50
6,143,45
6,144,49
6,145,51
6,146,52
6,147,54
6,148,53
6,149,65
7,0,184
7,1,176
7,2,176
7,3,177
7,4,177
7,5,178
7,6,176
7,7,174
7,8,177
7,9,178
7,10,179
7,11,178
7,12,176
7,13,175
7,14,177
7,15,178
7,16,177
7,17,177
7,18,178
7,19,178
7,20,178
7,21,176
7,22,174
7,23,171
7,24,171
7,25,172
7,26,174
7,27,175
7,28,176
7,29,177
7,30,177
7,31,177
7,32,177
7,33,175
7,34,171
7,35,169
7,36,169
7,37,170
7,38,173
7,39,174
7,40,174
7,41,173
7,42,170
7,43,168
7,44,168
7,45,171
7,46,172
7,47,172
7,48,171
7,49,177
7,50,173
7,51,166
7,52,170
7,53,167
7,54,154
7,55,122
7,56,98
7,57,76
7,58,65
7,59,62
7,60,65
7,61,71
7,62,70
7,63,64
7,64,44
7,65,44
7,66,40
7,67,41
7,68,42
7,69,44
7,70,44
7,71,35
7,72,35
7,73,41
7,74,54
7,75,58
7,76,52
7,77,51
7,78,52
7,79,56
7,80,66
7,81,98
7,82,130
7,83,138
7,84,147
7,85,159
7,86,175
7,87,178
7,88,168
7,89,153
7,90,138
7,91,114
7,92,111
7,93,116
7,94,122
7,95,110
7,96,87
7,97,59
7,98,58
7,99,50
7,100,56
7,101,63
7,102,98
7,103,122
7,104,126
7,105,108
7,106,86
7,107,88
7,108,101
7,109,115
7,110,116
7,111,122
7,112,120
7,113,113
7,114,107
7,115,98
7,116,81
7,117,67
7,118,51
7,119,34
7,120,33
7,121,34
7,122,39
7,123,45
7,124,54
7,125,59
7,126,81
7,127,95
7,128,109
7,129,109
7,130,111
7,131,107
7,132,95
7,133,87
7,134,75
7,135,74
7,136,77
7,137,77
7,138,75
7,139,66
7,140,62
7,141,57
7,142,55
7,143,51
7,144,48
7,145,50
7,146,50
7,147,53
7,148,53
7,149,66
8,0,179
8,1,173
8,2,174
8,3,175
8,4,175
8,5,175
8,6,174
8,7,175
8,8,176
8,9,176
8,10,177
8,11,177
8,12,176
8,13,175
8,14,176
8,15,176
8,16,176
8,17,177
8,18,177
8,19,178
8,20,177
8,21,175
8,22,173
8,23,172
8,24,171
8,25,172
8,26,175
8,27,177
8,28,180
8,29,183
8,30,182
8,31,179
8,32,176
8,33,173
8,34,168
8,35,166
8,36,168
8,37,169
8,38,170
8,39,173
8,40,171
8,41,169
8,42,167
8,43,167
8,44,170
8,45,172
8,46,172
8,47,171
8,48,167
8,49,173
8,50,172
8,51,171
8,52,168
8,53,159
8,54,139
8,55,104
8,56,79
8,57,67
8,58,63
8,59,68
8,60,72
8,61,76
8,62,74
8,63,63
8,64,44
8,65,42
8,66,40
8,67,44
8,68,41
8,69,41
8,70,45
8,71,36
8,72,34
8,73,41
8,74,51
8,75,53
8,76,52
8,77,45
8,78,49
8,79,57
8,80,74
8,81,107
8,82,136
8,83,141
8,84,150
8,85,155
8,86,175
8,87,173
8,88,155
8,89,145
8,90,124
8,91,112
8,92,113
8,93,117
8,94,118
8,95,93
8,96,75
8,97,60
8,98,58
8,99,52
8,100,55
8,101,91
8,102,114
8,103,129
8,104,116
8,105,97
8,106,80
8,107,86
8,108,106
8,109,118
8,110,119
8,111,120
8,112,116
8,113,116
8,114,107
8,115,101
8,116,80
8,117,71
8,118,59
8,119,49
8,120,46
8,121,46
8,122,50
8,123,49
8,124,55
8,125,64
8,126,86
8,127,100
8,128,110
8,129,107
8,130,102
8,131,99
8,132,87
8,133,81
8,134,73
8,135,70
8,136,71
8,137,72
8,138,68
8,139,64
8,140,60
8,141,55
8,142,54
8,143,53
8,144,49
8,145,51
8,146,54
8,147,58
8,148,54
8,149,65
9,0,179
9,1,174
9,2,175
9,3,176
9,4,175
9,5,176
9,6,174
9,7,175
9,8,175
9,9,176
9,10,176
9,11,176
9,12,175
9,13,174
9,14,175
9,15,175
9,16,175
9,17,176
9,18,177
9,19,177
9,20,176
9,21,175
9,22,173
9,23,172
9,24,173
9,25,174
9,26,174
9,27,178
9,28,183
9,29,186
9,30,183
9,31,180
9,32,175
9,33,172
9,34,168
9,35,166
9,36,168
9,37,169
9,38,169
9,39,171
9,40,171
9,41,169
9,42,167
9,43,167
9,44,169
9,45,171
9,46,173
9,47,173
9,48,172
9,49,176
9,50,175
9,51,173
9,52,165
9,53,150
9,54,125
9,55,94
9,56,74
9,57,65
9,58,68
9,59,70
9,60,73
9,61,79
9,62,75
9,63,65
9,64,49
9,65,45
9,66,42
9,67,45
9,68,39
9,69,35
9,70,41
9,71,36
9,72,34
9,73,38
9,74,46
9,75,49
9,76,51
9,77,45
9,78,50
9,79,58
9,80,82
9,81,112
9,82,140
9,83,145
9,84,153
9,85,156
9,86,172
9,87,169
9,88,150
9,89,139
9,90,122
9,91,113
9,92,115
9,93,117
9,94,117
9,95,91
9,96,73
9,97,60
9,98,57
9,99,56
9,100,64
9,101,99
9,102,120
9,103,132
9,104,116
9,105,96
9,106,76
9,107,79
9,108,100
9,109,115
9,110,119
9,111,120
9,112,117
9,113,120
9,114,112
