y_val,x_val,data_channel
0,0,152
0,1,160
0,2,172
0,3,182
0,4,187
0,5,187
0,6,182
0,7,179
0,8,188
0,9,188
0,10,188
0,11,188
0,12,188
0,13,188
0,14,188
0,15,188
0,16,193
0,17,192
0,18,190
0,19,187
0,20,184
0,21,181
0,22,179
0,23,178
0,24,183
0,25,183
0,26,183
0,27,183
0,28,183
0,29,183
0,30,183
0,31,183
0,32,177
0,33,185
0,34,190
0,35,181
0,36,162
0,37,149
0,38,147
0,39,152
0,40,149
0,41,157
0,42,169
0,43,180
0,44,186
0,45,186
0,46,182
0,47,178
0,48,173
0,49,174
0,50,176
0,51,179
0,52,182
0,53,185
0,54,187
0,55,188
0,56,175
0,57,182
0,58,185
0,59,176
0,60,159
0,61,148
0,62,149
0,63,155
0,64,182
0,65,176
0,66,169
0,67,165
0,68,168
0,69,176
0,70,187
0,71,194
0,72,184
0,73,187
0,74,183
0,75,167
0,76,146
0,77,136
0,78,140
0,79,148
0,80,171
0,81,174
0,82,182
0,83,173
0,84,128
0,85,75
0,86,57
0,87,69
0,88,102
0,89,136
0,90,175
0,91,192
0,92,187
0,93,181
0,94,188
0,95,199
0,96,197
0,97,184
0,98,173
0,99,176
0,100,190
0,101,201
0,102,202
0,103,197
0,104,185
0,105,149
0,106,118
0,107,108
0,108,97
0,109,78
0,110,70
0,111,76
0,112,78
0,113,82
0,114,90
0,115,99
0,116,109
0,117,118
0,118,125
0,119,129
0,120,144
0,121,161
0,122,154
0,123,114
0,124,79
0,125,70
0,126,70
0,127,65
0,128,32
0,129,31
0,130,31
0,131,30
0,132,30
0,133,29
0,134,29
0,135,29
0,136,25
0,137,26
0,138,26
0,139,27
0,140,29
0,141,30
0,142,30
0,143,31
0,144,35
0,145,36
0,146,37
0,147,39
0,148,42
0,149,44
1,0,154
1,1,161
1,2,172
1,3,182
1,4,187
1,5,186
1,6,182
1,7,179
1,8,188
1,9,188
1,10,188
1,11,188
1,12,188
1,13,188
1,14,188
1,15,188
1,16,192
1,17,191
1,18,189
1,19,187
1,20,184
1,21,182
1,22,180
1,23,179
1,24,183
1,25,183
1,26,183
1,27,183
1,28,183
1,29,183
1,30,183
1,31,183
1,32,180
1,33,185
1,34,185
1,35,175
1,36,159
1,37,150
1,38,152
1,39,158
1,40,154
1,41,161
1,42,172
1,43,182
1,44,188
1,45,187
1,46,184
1,47,181
1,48,174
1,49,175
1,50,177
1,51,179
1,52,182
1,53,184
1,54,186
1,55,187
1,56,178
1,57,180
1,58,178
1,59,171
1,60,161
1,61,153
1,62,151
1,63,152
1,64,174
1,65,170
1,66,166
1,67,164
1,68,167
1,69,176
1,70,187
1,71,194
1,72,185
1,73,184
1,74,175
1,75,157
1,76,140
1,77,136
1,78,147
1,79,159
1,80,183
1,81,177
1,82,173
1,83,157
1,84,113
1,85,68
1,86,58
1,87,75
1,88,115
1,89,145
1,90,180
1,91,194
1,92,189
1,93,182
1,94,188
1,95,198
1,96,188
1,97,180
1,98,174
1,99,177
1,100,187
1,101,192
1,102,187
1,103,179
1,104,166
1,105,132
1,106,106
1,107,100
1,108,94
1,109,79
1,110,74
1,111,81
1,112,82
1,113,85
1,114,90
1,115,99
1,116,109
1,117,120
1,118,130
1,119,135
1,120,148
1,121,154
1,122,137
1,123,97
1,124,69
1,125,62
1,126,56
1,127,43
1,128,33
1,129,32
1,130,32
1,131,31
1,132,30
1,133,29
1,134,29
1,135,28
1,136,25
1,137,26
1,138,26
1,139,27
1,140,29
1,141,30
1,142,30
1,143,31
1,144,35
1,145,36
1,146,37
1,147,39
1,148,42
1,149,44
2,0,158
2,1,164
2,2,173
2,3,181
2,4,186
2,5,186
2,6,183
2,7,180
2,8,187
2,9,187
2,10,187
2,11,187
2,12,187
2,13,187
2,14,187
2,15,187
2,16,191
2,17,190
2,18,189
2,19,187
2,20,184
2,21,182
2,22,181
2,23,180
2,24,183
2,25,183
2,26,183
2,27,183
2,28,183
2,29,183
2,30,183
2,31,183
2,32,184
2,33,183
2,34,177
2,35,165
2,36,154
2,37,152
2,38,160
2,39,168
2,40,162
2,41,168
2,42,178
2,43,186
2,44,190
2,45,190
2,46,187
2,47,184
2,48,175
2,49,176
2,50,177
2,51,179
2,52,182
2,53,184
2,54,185
2,55,186
2,56,182
2,57,175
2,58,168
2,59,163
2,60,162
2,61,159
2,62,153
2,63,148
2,64,163
2,65,162
2,66,161
2,67,162
2,68,168
2,69,177
2,70,186
2,71,191
2,72,186
2,73,178
2,74,161
2,75,142
2,76,132
2,77,139
2,78,158
2,79,174
2,80,197
2,81,178
2,82,156
2,83,130
2,84,90
2,85,57
2,86,62
2,87,87
2,88,135
2,89,160
2,90,187
2,91,198
2,92,191
2,93,184
2,94,188
2,95,195
2,96,180
2,97,178
2,98,178
2,99,182
2,100,185
2,101,180
2,102,168
2,103,157
2,104,136
2,105,107
2,106,86
2,107,89
2,108,90
2,109,80
2,110,79
2,111,89
2,112,87
2,113,89
2,114,92
2,115,100
2,116,110
2,117,123
2,118,135
2,119,142
2,120,150
2,121,141
2,122,112
2,123,76
2,124,62
2,125,62
2,126,48
2,127,24
2,128,35
2,129,34
2,130,33
2,131,32
2,132,31
2,133,29
2,134,28
2,135,28
2,136,25
2,137,26
2,138,26
2,139,27
2,140,29
2,141,30
2,142,30
2,143,31
2,144,35
2,145,36
2,146,37
2,147,39
2,148,42
2,149,44
3,0,162
3,1,167
3,2,174
3,3,181
3,4,185
3,5,185
3,6,183
3,7,182
3,8,186
3,9,186
3,10,186
3,11,186
3,12,186
3,13,186
3,14,186
3,15,186
3,16,189
3,17,189
3,18,188
3,19,186
3,20,185
3,21,183
3,22,182
3,23,182
3,24,183
3,25,183
3,26,183
3,27,183
3,28,183
3,29,183
3,30,183
3,31,183
3,32,187
3,33,180
3,34,168
3,35,156
3,36,151
3,37,157
3,38,168
3,39,177
3,40,171
3,41,175
3,42,182
3,43,188
3,44,191
3,45,191
3,46,188
3,47,186
3,48,177
3,49,177
3,50,178
3,51,180
3,52,181
3,53,183
3,54,184
3,55,184
3,56,183
3,57,170
3,58,158
3,59,156
3,60,161
3,61,163
3,62,156
3,63,147
3,64,154
3,65,155
3,66,158
3,67,163
3,68,170
3,69,178
3,70,184
3,71,188
3,72,184
3,73,169
3,74,148
3,75,130
3,76,128
3,77,143
3,78,167
3,79,185
3,80,201
3,81,169
3,82,133
3,83,101
3,84,68
3,85,51
3,86,70
3,87,104
3,88,157
3,89,175
3,90,193
3,91,199
3,92,193
3,93,186
3,94,188
3,95,192
3,96,180
3,97,182
3,98,186
3,99,187
3,100,183
3,101,171
3,102,155
3,103,143
3,104,110
3,105,84
3,106,70
3,107,79
3,108,87
3,109,82
3,110,84
3,111,94
3,112,91
3,113,92
3,114,96
3,115,102
3,116,113
3,117,125
3,118,136
3,119,143
3,120,140
3,121,122
3,122,88
3,123,63
3,124,69
3,125,81
3,126,61
3,127,28
3,128,37
3,129,37
3,130,35
3,131,33
3,132,31
3,133,30
3,134,28
3,135,27
3,136,25
3,137,26
3,138,26
3,139,27
3,140,29
3,141,30
3,142,30
3,143,31
3,144,35
3,145,36
3,146,37
3,147,39
3,148,42
3,149,44
4,0,167
4,1,171
4,2,175
4,3,180
4,4,183
4,5,184
4,6,184
4,7,183
4,8,185
4,9,185
4,10,185
4,11,185
4,12,185
4,13,185
4,14,185
4,15,185
4,16,188
4,17,187
4,18,187
4,19,186
4,20,185
4,21,184
4,22,184
4,23,183
4,24,183
4,25,183
4,26,183
4,27,183
4,28,183
4,29,183
4,30,183
4,31,183
4,32,186
4,33,174
4,34,159
4,35,150
4,36,153
4,37,163
4,38,176
4,39,183
4,40,178
4,41,180
4,42,184
4,43,188
4,44,189
4,45,189
4,46,188
4,47,186
4,48,178
4,49,179
4,50,179
4,51,180
4,52,181
4,53,182
4,54,182
4,55,183
4,56,179
4,57,166
4,58,153
4,59,151
4,60,157
4,61,162
4,62,157
4,63,150
4,64,149
4,65,153
4,66,160
4,67,167
4,68,174
4,69,179
4,70,182
4,71,184
4,72,175
4,73,159
4,74,139
4,75,127
4,76,131
4,77,149
4,78,170
4,79,184
4,80,186
4,81,147
4,82,104
4,83,76
4,84,56
4,85,54
4,86,85
4,87,124
4,88,175
4,89,185
4,90,195
4,91,198
4,92,193
4,93,188
4,94,188
4,95,190
4,96,184
4,97,187
4,98,188
4,99,183
4,100,171
4,101,157
4,102,146
4,103,140
4,104,98
4,105,74
4,106,63
4,107,77
4,108,87
4,109,83
4,110,85
4,111,96
4,112,92
4,113,95
4,114,100
4,115,108
4,116,116
4,117,124
4,118,130
4,119,133
4,120,119
4,121,99
4,122,71
4,123,62
4,124,88
4,125,110
4,126,89
4,127,50
4,128,40
4,129,39
4,130,37
4,131,35
4,132,32
4,133,30
4,134,28
4,135,27
4,136,25
4,137,26
4,138,26
4,139,27
4,140,29
4,141,30
4,142,30
4,143,31
4,144,35
4,145,36
4,146,37
4,147,39
4,148,42
4,149,44
5,0,172
5,1,174
5,2,177
5,3,180
5,4,182
5,5,184
5,6,185
5,7,185
5,8,184
5,9,184
5,10,184
5,11,184
5,12,184
5,13,184
5,14,184
5,15,184
5,16,186
5,17,186
5,18,186
5,19,186
5,20,185
5,21,185
5,22,185
5,23,185
5,24,183
5,25,183
5,26,183
5,27,183
5,28,183
5,29,183
5,30,183
5,31,183
5,32,180
5,33,167
5,34,153
5,35,149
5,36,158
5,37,171
5,38,181
5,39,185
5,40,182
5,41,183
5,42,184
5,43,185
5,44,185
5,45,185
5,46,184
5,47,184
5,48,180
5,49,180
5,50,180
5,51,180
5,52,181
5,53,181
5,54,181
5,55,181
5,56,171
5,57,163
5,58,153
5,59,149
5,60,151
5,61,155
5,62,158
5,63,158
5,64,151
5,65,157
5,66,166
5,67,175
5,68,180
5,69,182
5,70,181
5,71,179
5,72,163
5,73,150
5,74,135
5,75,132
5,76,142
5,77,156
5,78,167
5,79,172
5,80,155
5,81,115
5,82,76
5,83,59
5,84,54
5,85,65
5,86,103
5,87,144
5,88,186
5,89,189
5,90,193
5,91,193
5,92,191
5,93,189
5,94,188
5,95,189
5,96,184
5,97,183
5,98,175
5,99,161
5,100,144
5,101,134
5,102,135
5,103,139
5,104,100
5,105,77
5,106,68
5,107,81
5,108,90
5,109,84
5,110,83
5,111,92
5,112,90
5,113,96
5,114,106
5,115,115
5,116,120
5,117,120
5,118,117
5,119,115
5,120,92
5,121,78
5,122,61
5,123,67
5,124,104
5,125,131
5,126,108
5,127,66
5,128,43
5,129,42
5,130,39
5,131,36
5,132,33
5,133,30
5,134,28
5,135,26
5,136,25
5,137,26
5,138,26
5,139,27
5,140,29
5,141,30
5,142,30
5,143,31
5,144,35
5,145,36
5,146,37
5,147,39
5,148,42
5,149,44
6,0,176
6,1,176
6,2,177
6,3,179
6,4,181
6,5,183
6,6,185
6,7,186
6,8,183
6,9,183
6,10,183
6,11,183
6,12,183
6,13,183
6,14,183
6,15,183
6,16,185
6,17,185
6,18,185
6,19,185
6,20,186
6,21,186
6,22,186
6,23,186
6,24,183
6,25,183
6,26,183
6,27,183
6,28,183
6,29,183
6,30,183
6,31,183
6,32,173
6,33,161
6,34,149
6,35,151
6,36,165
6,37,178
6,38,184
6,39,183
6,40,183
6,41,183
6,42,182
6,43,181
6,44,181
6,45,180
6,46,180
6,47,180
6,48,181
6,49,181
6,50,181
6,51,181
6,52,180
6,53,180
6,54,180
6,55,180
6,56,163
6,57,161
6,58,156
6,59,149
6,60,144
6,61,147
6,62,157
6,63,166
6,64,156
6,65,163
6,66,173
6,67,182
6,68,186
6,69,184
6,70,179
6,71,175
6,72,150
6,73,142
6,74,136
6,75,142
6,76,154
6,77,163
6,78,161
6,79,156
6,80,119
6,81,84
6,82,53
6,83,49
6,84,59
6,85,79
6,86,120
6,87,160
6,88,191
6,89,189
6,90,188
6,91,188
6,92,188
6,93,189
6,94,189
6,95,188
6,96,175
6,97,168
6,98,151
6,99,127
6,100,107
6,101,105
6,102,119
6,103,135
6,104,112
6,105,89
6,106,78
6,107,89
6,108,94
6,109,84
6,110,80
6,111,86
6,112,86
6,113,96
6,114,110
6,115,122
6,116,123
6,117,116
6,118,103
6,119,94
6,120,68
6,121,63
6,122,57
6,123,70
6,124,108
6,125,133
6,126,107
6,127,63
6,128,45
6,129,44
6,130,41
6,131,37
6,132,34
6,133,30
6,134,27
6,135,26
6,136,25
6,137,26
6,138,26
6,139,27
6,140,29
6,141,30
