y_val,x_val,data_channel
0,0,28
0,1,28
0,2,26
0,3,25
0,4,24
0,5,23
0,6,21
0,7,20
0,8,19
0,9,21
0,10,21
0,11,18
0,12,18
0,13,19
0,14,20
0,15,18
0,16,18
0,17,19
0,18,19
0,19,20
0,20,20
0,21,21
0,22,21
0,23,21
0,24,20
0,25,21
0,26,22
0,27,22
0,28,23
0,29,23
0,30,23
0,31,23
0,32,22
0,33,22
0,34,22
0,35,22
0,36,22
0,37,22
0,38,21
0,39,20
0,40,22
0,41,22
0,42,22
0,43,22
0,44,22
0,45,22
0,46,22
0,47,22
0,48,21
0,49,21
0,50,22
0,51,22
0,52,23
0,53,23
0,54,23
0,55,23
0,56,22
0,57,22
0,58,22
0,59,22
0,60,22
0,61,22
0,62,22
0,63,23
0,64,21
0,65,23
0,66,24
0,67,22
0,68,21
0,69,21
0,70,21
0,71,20
0,72,21
0,73,21
0,74,22
0,75,23
0,76,23
0,77,23
0,78,23
0,79,23
0,80,22
1,0,31
1,1,30
1,2,28
1,3,27
1,4,26
1,5,25
1,6,23
1,7,22
1,8,21
1,9,22
1,10,21
1,11,19
1,12,19
1,13,20
1,14,19
1,15,18
1,16,19
1,17,19
1,18,20
1,19,20
1,20,21
1,21,21
1,22,21
1,23,21
1,24,21
1,25,22
1,26,22
1,27,23
1,28,23
1,29,23
1,30,23
1,31,23
1,32,23
1,33,22
1,34,22
1,35,22
1,36,22
1,37,22
1,38,21
1,39,20
1,40,22
1,41,22
1,42,22
1,43,22
1,44,22
1,45,22
1,46,22
1,47,22
1,48,22
1,49,22
1,50,22
1,51,22
1,52,22
1,53,22
1,54,22
1,55,22
1,56,23
1,57,22
1,58,22
1,59,22
1,60,22
1,61,22
1,62,22
1,63,22
1,64,22
1,65,23
1,66,23
1,67,22
1,68,21
1,69,21
1,70,21
1,71,21
1,72,21
1,73,21
1,74,22
1,75,22
1,76,23
1,77,23
1,78,23
1,79,23
1,80,23
2,0,33
2,1,31
2,2,30
2,3,28
2,4,27
2,5,26
2,6,25
2,7,25
2,8,24
2,9,23
2,10,22
2,11,21
2,12,20
2,13,20
2,14,19
2,15,18
2,16,20
2,17,20
2,18,20
2,19,20
2,20,21
2,21,21
2,22,21
2,23,21
2,24,22
2,25,23
2,26,23
2,27,23
2,28,23
2,29,23
2,30,24
2,31,24
2,32,23
2,33,23
2,34,22
2,35,22
2,36,22
2,37,21
2,38,21
2,39,21
2,40,22
2,41,22
2,42,22
2,43,22
2,44,22
2,45,22
2,46,22
2,47,22
2,48,22
2,49,22
2,50,22
2,51,22
2,52,22
2,53,22
2,54,21
2,55,21
2,56,23
2,57,23
2,58,23
2,59,22
2,60,22
