y_val,x_val,data_channel
0,0,128
0,1,134
0,2,135
0,3,134
0,4,132
0,5,137
0,6,146
0,7,142
0,8,129
0,9,150
0,10,149
0,11,148
0,12,151
0,13,158
0,14,155
0,15,141
0,16,132
0,17,136
0,18,134
0,19,133
0,20,130
0,21,143
0,22,140
0,23,145
0,24,150
0,25,166
0,26,177
0,27,185
0,28,189
0,29,188
0,30,191
0,31,192
0,32,193
0,33,193
0,34,188
0,35,179
0,36,173
0,37,170
0,38,165
0,39,160
0,40,155
0,41,158
0,42,154
0,43,153
0,44,156
0,45,155
0,46,152
0,47,154
0,48,156
0,49,158
0,50,156
0,51,154
0,52,151
0,53,140
0,54,129
0,55,125
0,56,121
0,57,134
0,58,140
0,59,142
0,60,154
0,61,165
0,62,168
0,63,168
0,64,168
0,65,170
0,66,173
0,67,174
0,68,173
0,69,175
0,70,177
0,71,176
0,72,172
0,73,175
0,74,174
0,75,175
0,76,173
0,77,177
0,78,176
0,79,177
0,80,177
0,81,180
0,82,177
0,83,177
0,84,179
0,85,179
0,86,180
0,87,180
0,88,176
0,89,178
0,90,180
0,91,182
0,92,183
0,93,185
0,94,187
0,95,188
0,96,188
0,97,190
0,98,191
0,99,192
0,100,194
0,101,196
0,102,196
0,103,196
0,104,193
0,105,196
0,106,197
0,107,196
0,108,197
0,109,199
0,110,198
0,111,196
0,112,198
0,113,198
0,114,198
0,115,198
0,116,198
0,117,198
0,118,198
0,119,198
0,120,198
0,121,200
0,122,200
0,123,199
0,124,199
0,125,201
0,126,201
0,127,201
0,128,202
0,129,201
0,130,201
0,131,202
0,132,201
0,133,198
0,134,197
0,135,197
0,136,195
0,137,196
0,138,196
0,139,196
0,140,194
0,141,193
0,142,192
0,143,191
0,144,189
0,145,188
0,146,187
0,147,185
0,148,183
0,149,181
1,0,137
1,1,144
1,2,146
1,3,146
1,4,154
1,5,153
1,6,142
1,7,136
1,8,142
1,9,153
1,10,155
1,11,158
1,12,152
1,13,156
1,14,153
1,15,134
1,16,143
1,17,138
1,18,132
1,19,133
1,20,130
1,21,144
1,22,146
1,23,143
1,24,165
1,25,180
1,26,193
1,27,195
1,28,188
1,29,184
1,30,186
1,31,183
1,32,186
1,33,183
1,34,178
1,35,177
1,36,178
1,37,179
1,38,177
1,39,174
1,40,169
1,41,166
1,42,159
1,43,155
1,44,156
1,45,154
1,46,152
1,47,154
1,48,153
1,49,153
1,50,153
1,51,154
1,52,151
1,53,142
1,54,133
1,55,128
1,56,122
1,57,124
1,58,127
1,59,138
1,60,154
1,61,162
1,62,163
1,63,166
1,64,170
1,65,169
1,66,170
1,67,171
1,68,171
1,69,173
1,70,175
1,71,173
1,72,175
1,73,175
1,74,173
1,75,175
1,76,172
1,77,175
1,78,175
1,79,178
1,80,177
1,81,180
1,82,177
1,83,177
1,84,179
1,85,179
1,86,180
1,87,180
1,88,180
1,89,181
