y_val,x_val,data_channel
0,0,81
0,1,66
0,2,64
0,3,71
0,4,72
0,5,68
0,6,69
0,7,70
0,8,66
0,9,61
0,10,55
0,11,47
0,12,39
0,13,38
0,14,38
0,15,38
0,16,44
0,17,51
0,18,54
0,19,52
0,20,49
0,21,48
0,22,48
0,23,47
0,24,45
0,25,47
0,26,49
0,27,49
0,28,44
0,29,44
0,30,44
0,31,47
0,32,49
0,33,49
0,34,48
0,35,51
0,36,55
0,37,60
0,38,45
0,39,36
0,40,33
0,41,30
0,42,32
0,43,37
0,44,35
0,45,38
0,46,41
0,47,42
0,48,39
0,49,37
0,50,40
0,51,41
0,52,41
0,53,37
0,54,38
0,55,36
0,56,33
0,57,33
0,58,40
0,59,48
0,60,52
0,61,51
0,62,49
0,63,44
0,64,39
0,65,34
0,66,31
0,67,28
0,68,28
0,69,33
0,70,28
0,71,27
0,72,29
0,73,30
0,74,28
0,75,26
0,76,27
0,77,37
0,78,37
0,79,34
0,80,31
0,81,31
0,82,34
0,83,35
0,84,33
0,85,34
0,86,31
0,87,33
0,88,56
0,89,96
0,90,138
0,91,162
0,92,169
0,93,167
0,94,167
0,95,168
0,96,169
0,97,169
0,98,168
0,99,167
0,100,167
0,101,167
0,102,165
0,103,162
0,104,160
0,105,161
0,106,160
0,107,157
0,108,154
0,109,160
0,110,160
0,111,160
0,112,161
0,113,161
0,114,162
0,115,164
0,116,166
0,117,166
0,118,164
0,119,161
0,120,158
0,121,156
0,122,157
0,123,158
0,124,161
1,0,72
1,1,59
1,2,64
1,3,78
1,4,79
1,5,64
1,6,69
1,7,71
1,8,67
1,9,61
1,10,57
1,11,53
1,12,51
1,13,42
1,14,39
1,15,39
1,16,45
1,17,52
1,18,57
1,19,54
1,20,50
1,21,37
1,22,41
1,23,40
1,24,38
1,25,38
1,26,40
1,27,40
1,28,39
1,29,41
1,30,41
1,31,43
1,32,50
1,33,50
1,34,42
1,35,40
1,36,41
1,37,49
1,38,35
1,39,31
1,40,33
1,41,32
1,42,36
1,43,44
1,44,49
1,45,44
1,46,49
1,47,50
1,48,44
1,49,41
1,50,42
1,51,46
1,52,44
1,53,44
1,54,48
1,55,47
1,56,41
1,57,39
1,58,42
1,59,46
1,60,47
1,61,48
1,62,45
1,63,42
1,64,40
1,65,36
1,66,35
1,67,36
1,68,34
1,69,38
1,70,32
1,71,28
1,72,31
1,73,35
1,74,33
1,75,32
1,76,30
1,77,36
1,78,35
1,79,33
1,80,30
1,81,33
1,82,37
1,83,36
1,84,31
1,85,32
1,86,37
1,87,35
1,88,36
1,89,68
1,90,122
1,91,159
1,92,169
1,93,165
1,94,165
1,95,166
1,96,165
1,97,166
1,98,165
1,99,165
1,100,164
1,101,168
1,102,165
1,103,163
1,104,164
1,105,165
1,106,165
1,107,163
1,108,160
1,109,155
1,110,158
1,111,164
1,112,166
1,113,165
1,114,163
1,115,161
1,116,160
1,117,158
1,118,161
1,119,164
1,120,165
1,121,162
1,122,159
1,123,158
1,124,158
2,0,88
2,1,65
2,2,71
2,3,78
2,4,79
2,5,67
2,6,73
2,7,72
2,8,64
2,9,57
2,10,56
2,11,52
2,12,49
2,13,46
2,14,48
2,15,50
2,16,48
2,17,47
2,18,48
2,19,50
2,20,51
2,21,42
2,22,38
2,23,35
2,24,34
2,25,36
2,26,38
2,27,36
2,28,34
2,29,33
2,30,36
2,31,40
2,32,45
2,33,43
2,34,38
2,35,36
2,36,38
2,37,45
2,38,49
2,39,49
2,40,43
2,41,42
2,42,48
2,43,54
2,44,55
2,45,53
2,46,55
2,47,55
2,48,50
2,49,40
2,50,37
2,51,40
2,52,48
2,53,44
2,54,45
2,55,43
2,56,43
2,57,45
2,58,39
2,59,37
2,60,45
2,61,52
2,62,51
2,63,51
2,64,47
2,65,40
2,66,32
2,67,38
2,68,47
2,69,34
2,70,32
2,71,30
2,72,34
2,73,35
2,74,33
2,75,28
2,76,27
2,77,29
2,78,36
2,79,36
2,80,32
2,81,33
2,82,32
2,83,31
2,84,35
2,85,32
2,86,39
2,87,34
2,88,45
2,89,81
2,90,127
2,91,163
2,92,162
2,93,168
2,94,166
2,95,164
2,96,165
2,97,163
2,98,165
2,99,166
2,100,165
2,101,171
2,102,167
2,103,164
2,104,163
2,105,165
2,106,165
2,107,165
2,108,160
2,109,163
2,110,163
2,111,164
2,112,164
2,113,163
2,114,163
2,115,162
2,116,161
2,117,162
2,118,156
2,119,153
2,120,158
2,121,163
2,122,164
2,123,162
2,124,158
3,0,122
3,1,90
3,2,75
3,3,72
3,4,71
3,5,82
3,6,80
3,7,70
3,8,57
3,9,53
3,10,55
3,11,53
3,12,47
3,13,54
3,14,51
3,15,50
3,16,49
3,17,49
3,18,47
3,19,45
3,20,43
3,21,44
3,22,42
3,23,37
3,24,36
3,25,38
3,26,39
3,27,40
3,28,41
3,29,37
3,30,36
3,31,38
3,32,39
3,33,39
3,34,38
3,35,40
3,36,41
3,37,55
3,38,60
3,39,57
3,40,49
3,41,41
3,42,44
3,43,46
3,44,47
3,45,51
3,46,53
3,47,54
3,48,51
3,49,46
3,50,44
3,51,45
3,52,49
3,53,52
3,54,50
3,55,44
3,56,39
3,57,41
3,58,35
3,59,35
3,60,43
3,61,44
3,62,44
3,63,44
3,64,48
3,65,44
3,66,38
3,67,37
3,68,38
3,69,49
3,70,41
3,71,36
3,72,36
3,73,35
3,74,31
3,75,29
3,76,27
3,77,30
3,78,35
3,79,34
3,80,32
3,81,34
3,82,32
3,83,29
3,84,32
3,85,35
3,86,36
3,87,38
3,88,75
3,89,120
3,90,152
3,91,172
3,92,171
3,93,165
3,94,166
3,95,165
3,96,163
3,97,163
3,98,163
3,99,164
3,100,165
3,101,169
3,102,165
3,103,162
3,104,163
3,105,164
3,106,166
3,107,165
3,108,163
3,109,166
3,110,165
3,111,164
3,112,161
3,113,162
3,114,163
3,115,165
3,116,166
3,117,170
3,118,164
3,119,161
3,120,165
3,121,171
3,122,168
3,123,165
3,124,162
4,0,163
4,1,132
4,2,109
4,3,93
4,4,79
4,5,85
4,6,79
4,7,69
4,8,63
4,9,59
4,10,59
4,11,51
4,12,43
4,13,53
4,14,55
4,15,58
4,16,64
4,17,67
4,18,65
4,19,56
4,20,48
4,21,47
4,22,42
4,23,37
4,24,35
4,25,36
4,26,38
4,27,39
4,28,38
4,29,38
4,30,35
4,31,30
4,32,33
4,33,38
4,34,42
4,35,46
4,36,52
4,37,58
4,38,63
4,39,63
4,40,52
4,41,46
4,42,44
4,43,46
4,44,43
4,45,48
4,46,52
4,47,54
4,48,54
4,49,51
4,50,49
4,51,46
4,52,47
4,53,48
4,54,50
4,55,42
4,56,39
4,57,40
4,58,37
4,59,33
4,60,39
4,61,42
4,62,41
4,63,43
4,64,47
4,65,53
4,66,49
4,67,45
4,68,44
4,69,58
4,70,48
4,71,38
4,72,35
4,73,35
4,74,33
4,75,30
4,76,29
4,77,29
4,78,31
4,79,28
4,80,29
4,81,35
4,82,35
4,83,31
4,84,34
4,85,39
4,86,33
4,87,45
4,88,100
4,89,147
4,90,160
4,91,163
4,92,158
4,93,165
4,94,164
4,95,164
4,96,162
4,97,158
4,98,159
4,99,161
4,100,163
4,101,164
4,102,162
4,103,162
4,104,160
4,105,162
4,106,164
4,107,167
4,108,168
4,109,168
4,110,165
4,111,161
4,112,161
4,113,160
4,114,163
4,115,167
4,116,170
4,117,170
4,118,165
4,119,162
4,120,166
4,121,169
4,122,168
4,123,162
4,124,158
5,0,182
5,1,175
5,2,162
5,3,141
5,4,121
5,5,102
5,6,85
5,7,69
5,8,63
5,9,56
5,10,47
5,11,46
5,12,48
5,13,51
5,14,49
5,15,54
5,16,62
5,17,64
5,18,57
5,19,49
5,20,43
5,21,41
5,22,38
5,23,34
5,24,32
5,25,33
5,26,32
5,27,32
5,28,33
5,29,35
5,30,30
5,31,29
5,32,35
5,33,41
5,34,47
5,35,53
5,36,56
5,37,50
5,38,55
5,39,54
5,40,48
5,41,47
5,42,50
5,43,50
5,44,48
5,45,47
5,46,52
5,47,55
5,48,55
5,49,54
5,50,52
5,51,48
5,52,44
5,53,43
5,54,47
5,55,46
5,56,48
5,57,52
5,58,46
5,59,38
5,60,37
5,61,41
5,62,39
5,63,36
5,64,40
5,65,45
5,66,48
5,67,48
5,68,47
5,69,54
5,70,43
5,71,35
5,72,34
5,73,36
5,74,35
5,75,32
5,76,29
5,77,29
5,78,28
5,79,25
5,80,28
5,81,38
5,82,37
5,83,35
5,84,38
5,85,31
5,86,36
5,87,59
5,88,117
5,89,156
5,90,161
5,91,165
5,92,164
5,93,162
5,94,163
5,95,162
5,96,160
5,97,157
5,98,156
5,99,157
5,100,160
5,101,160
5,102,160
5,103,160
5,104,158
5,105,158
5,106,160
5,107,163
5,108,168
5,109,165
5,110,162
5,111,159
5,112,157
5,113,158
5,114,162
5,115,167
5,116,170
5,117,165
5,118,163
5,119,161
5,120,164
5,121,165
5,122,162
5,123,157
5,124,156
6,0,190
6,1,195
6,2,196
6,3,183
6,4,168
6,5,162
6,6,134
6,7,107
6,8,90
6,9,67
6,10,46
6,11,44
6,12,59
6,13,55
6,14,50
6,15,45
6,16,45
6,17,41
6,18,35
6,19,32
6,20,33
6,21,33
6,22,33
6,23,32
6,24,32
6,25,32
6,26,31
6,27,30
6,28,29
6,29,30
6,30,28
6,31,29
6,32,35
6,33,42
6,34,46
6,35,47
6,36,50
6,37,50
6,38,50
6,39,47
6,40,44
6,41,46
