y_val,x_val,data_channel
0,0,155
0,1,154
0,2,154
0,3,153
0,4,153
0,5,154
0,6,151
0,7,146
0,8,144
0,9,145
0,10,148
0,11,151
0,12,153
0,13,156
0,14,158
0,15,160
0,16,159
0,17,160
0,18,159
0,19,155
0,20,151
0,21,149
0,22,150
0,23,152
0,24,151
0,25,151
0,26,151
0,27,149
0,28,148
0,29,149
0,30,153
0,31,155
0,32,163
0,33,163
0,34,161
0,35,160
0,36,164
0,37,170
0,38,169
0,39,164
0,40,162
0,41,164
0,42,163
0,43,160
0,44,157
0,45,158
0,46,160
0,47,161
0,48,155
0,49,157
0,50,160
0,51,166
0,52,167
0,53,165
0,54,164
0,55,156
0,56,157
0,57,158
0,58,161
0,59,163
0,60,165
0,61,165
0,62,166
0,63,166
0,64,163
0,65,161
0,66,158
0,67,158
0,68,156
0,69,148
0,70,146
0,71,152
0,72,147
0,73,145
0,74,143
0,75,145
0,76,146
0,77,146
0,78,145
0,79,146
0,80,142
0,81,148
0,82,146
0,83,140
0,84,142
0,85,149
0,86,154
0,87,155
0,88,153
0,89,155
0,90,157
0,91,155
0,92,150
0,93,144
0,94,141
0,95,141
0,96,145
0,97,147
0,98,153
0,99,154
0,100,157
0,101,157
0,102,151
0,103,151
0,104,150
0,105,147
0,106,151
0,107,152
0,108,151
0,109,154
0,110,158
0,111,162
0,112,163
0,113,164
0,114,162
0,115,159
0,116,157
0,117,159
0,118,163
0,119,166
0,120,165
0,121,165
0,122,164
0,123,160
0,124,155
0,125,158
0,126,165
0,127,168
0,128,164
0,129,159
0,130,155
0,131,153
0,132,153
0,133,152
0,134,153
0,135,155
0,136,152
0,137,148
0,138,148
0,139,149
0,140,150
0,141,153
0,142,156
0,143,156
0,144,159
0,145,162
0,146,161
0,147,163
0,148,170
0,149,173
0,150,166
0,151,159
0,152,164
0,153,164
0,154,167
0,155,165
0,156,163
0,157,161
0,158,160
0,159,162
0,160,155
0,161,164
0,162,167
0,163,163
0,164,158
0,165,154
0,166,151
0,167,150
0,168,156
0,169,158
0,170,164
0,171,158
0,172,163
0,173,157
0,174,159
1,0,151
1,1,148
1,2,148
1,3,150
1,4,151
1,5,152
1,6,150
1,7,147
1,8,151
1,9,153
1,10,154
1,11,156
1,12,159
1,13,162
1,14,161
1,15,158
1,16,159
1,17,158
1,18,155
1,19,150
1,20,145
1,21,143
1,22,144
1,23,146
1,24,150
1,25,150
1,26,150
1,27,152
1,28,155
1,29,157
1,30,158
1,31,159
1,32,163
1,33,165
1,34,164
1,35,163
1,36,164
1,37,168
1,38,168
1,39,165
1,40,164
1,41,162
1,42,159
1,43,158
1,44,160
1,45,162
1,46,162
1,47,160
1,48,160
1,49,161
1,50,162
1,51,164
1,52,161
1,53,156
1,54,153
1,55,147
1,56,152
1,57,151
1,58,151
1,59,153
1,60,155
1,61,157
