y_val,x_val,data_channel
0,0,73
0,1,71
0,2,68
0,3,68
0,4,73
0,5,81
0,6,83
0,7,81
0,8,89
0,9,89
0,10,92
0,11,87
0,12,84
0,13,83
0,14,84
0,15,105
0,16,127
0,17,139
0,18,134
0,19,141
0,20,139
0,21,139
0,22,130
0,23,145
0,24,138
0,25,136
0,26,137
0,27,136
0,28,125
0,29,114
0,30,116
0,31,128
0,32,141
0,33,158
0,34,176
0,35,183
0,36,181
0,37,175
0,38,169
0,39,164
0,40,147
0,41,148
0,42,149
0,43,153
0,44,163
0,45,175
0,46,182
0,47,183
0,48,182
0,49,182
0,50,180
0,51,185
0,52,189
0,53,188
0,54,188
0,55,185
0,56,184
0,57,184
0,58,185
0,59,186
0,60,188
0,61,189
0,62,188
0,63,187
0,64,186
0,65,185
0,66,185
0,67,186
0,68,186
0,69,186
0,70,184
0,71,183
0,72,185
0,73,184
0,74,184
0,75,184
0,76,185
0,77,187
0,78,189
0,79,190
0,80,185
0,81,185
0,82,183
0,83,179
0,84,177
0,85,172
0,86,162
0,87,151
0,88,140
0,89,136
0,90,134
0,91,137
0,92,142
0,93,145
0,94,142
0,95,137
0,96,132
0,97,145
0,98,148
0,99,136
0,100,125
0,101,131
0,102,147
0,103,159
0,104,180
0,105,183
0,106,182
0,107,184
0,108,191
0,109,190
0,110,185
0,111,186
0,112,183
0,113,186
0,114,188
0,115,189
0,116,188
0,117,185
0,118,181
0,119,179
0,120,186
0,121,188
0,122,190
0,123,191
0,124,189
1,0,78
1,1,71
1,2,65
1,3,65
1,4,70
1,5,76
1,6,83
1,7,89
1,8,93
1,9,91
1,10,91
1,11,87
1,12,86
1,13,83
1,14,79
1,15,96
1,16,123
1,17,138
1,18,135
1,19,142
1,20,142
1,21,142
1,22,131
1,23,143
1,24,136
1,25,139
1,26,141
1,27,136
1,28,125
1,29,116
1,30,118
1,31,126
1,32,135
1,33,149
1,34,167
1,35,180
1,36,186
1,37,187
1,38,180
1,39,174
1,40,150
1,41,137
1,42,121
1,43,115
1,44,121
1,45,139
1,46,163
1,47,182
1,48,184
1,49,183
1,50,182
1,51,184
1,52,186
1,53,188
1,54,186
1,55,184
1,56,186
1,57,184
1,58,184
1,59,186
1,60,189
1,61,190
1,62,188
1,63,186
1,64,186
1,65,185
1,66,185
1,67,186
1,68,187
1,69,188
1,70,187
1,71,186
1,72,190
1,73,186
1,74,184
1,75,185
1,76,188
1,77,189
1,78,189
1,79,187
1,80,181
1,81,183
1,82,184
1,83,184
