y_val,x_val,data_channel
0,0,157
0,1,161
0,2,167
0,3,174
0,4,182
0,5,188
0,6,193
0,7,195
0,8,184
0,9,181
0,10,176
0,11,174
0,12,176
0,13,183
0,14,191
0,15,196
0,16,181
0,17,185
0,18,190
0,19,194
0,20,195
0,21,193
0,22,189
0,23,186
0,24,185
0,25,187
0,26,189
0,27,191
0,28,194
0,29,197
0,30,199
0,31,200
0,32,196
0,33,199
0,34,202
0,35,202
0,36,197
0,37,188
0,38,177
0,39,170
0,40,172
0,41,167
0,42,161
0,43,157
0,44,159
0,45,165
0,46,173
0,47,179
0,48,180
0,49,181
0,50,183
0,51,181
0,52,177
0,53,169
0,54,161
0,55,156
0,56,141
0,57,155
0,58,170
0,59,175
0,60,173
0,61,175
0,62,186
0,63,198
0,64,192
0,65,190
0,66,186
0,67,181
0,68,175
0,69,170
0,70,165
0,71,163
0,72,177
0,73,172
0,74,168
0,75,167
0,76,173
0,77,185
0,78,198
0,79,207
0,80,198
0,81,198
0,82,198
0,83,198
0,84,198
0,85,198
0,86,198
0,87,198
0,88,200
0,89,200
0,90,199
0,91,198
0,92,197
0,93,196
0,94,195
0,95,195
0,96,201
0,97,202
0,98,202
0,99,200
0,100,195
0,101,187
0,102,179
0,103,174
0,104,150
0,105,148
0,106,145
0,107,142
0,108,142
0,109,145
0,110,149
0,111,151
0,112,151
0,113,148
0,114,144
0,115,140
0,116,139
0,117,140
0,118,142
0,119,144
0,120,149
0,121,150
0,122,157
0,123,172
0,124,183
0,125,177
0,126,155
0,127,135
0,128,164
0,129,140
0,130,118
0,131,120
0,132,144
0,133,164
0,134,167
0,135,160
0,136,153
0,137,116
0,138,107
0,139,136
0,140,148
0,141,132
0,142,136
0,143,161
0,144,164
0,145,180
0,146,189
0,147,177
0,148,152
0,149,138
1,0,127
1,1,130
1,2,135
1,3,142
1,4,148
1,5,154
1,6,159
1,7,161
1,8,159
1,9,155
1,10,150
1,11,148
1,12,150
1,13,157
1,14,165
1,15,171
1,16,184
1,17,187
1,18,190
1,19,193
1,20,192
1,21,190
1,22,186
1,23,183
1,24,183
1,25,184
1,26,186
1,27,188
1,28,191
1,29,194
1,30,195
1,31,196
1,32,188
1,33,191
1,34,194
1,35,193
1,36,185
1,37,171
1,38,156
1,39,147
1,40,113
1,41,109
1,42,105
1,43,103
1,44,106
1,45,114
1,46,123
1,47,129
1,48,145
1,49,145
1,50,145
1,51,143
1,52,137
1,53,130
1,54,122
1,55,117
1,56,86
1,57,98
1,58,111
1,59,116
1,60,115
1,61,119
1,62,131
1,63,142
1,64,151
1,65,149
1,66,146
1,67,141
1,68,135
1,69,131
1,70,127
1,71,125
1,72,137
1,73,135
1,74,132
1,75,133
1,76,141
1,77,153
1,78,166
1,79,174
1,80,188
1,81,188
1,82,188
1,83,188
1,84,188
1,85,188
1,86,188
1,87,188
1,88,190
1,89,190
1,90,190
1,91,189
1,92,189
1,93,189
1,94,188
1,95,188
1,96,188
1,97,190
1,98,192
1,99,189
1,100,179
1,101,162
1,102,146
1,103,135
1,104,58
1,105,56
1,106,53
1,107,52
1,108,54
1,109,58
1,110,62
1,111,65
1,112,83
1,113,81
1,114,79
1,115,78
1,116,81
1,117,85
1,118,90
1,119,94
1,120,94
1,121,96
1,122,104
1,123,116
1,124,122
1,125,112
1,126,87
1,127,66
1,128,6
1,129,0
1,130,0
1,131,24
1,132,74
1,133,118
1,134,141
1,135,145
1,136,67
1,137,27
1,138,11
1,139,33
1,140,45
1,141,36
1,142,46
1,143,74
1,144,116
1,145,129
1,146,136
1,147,123
1,148,99
1,149,86
2,0,137
2,1,139
2,2,141
2,3,146
2,4,151
2,5,156
2,6,161
2,7,164
2,8,157
2,9,152
2,10,146
2,11,142
2,12,145
2,13,152
2,14,162
2,15,169
2,16,188
2,17,189
2,18,191
2,19,190
2,20,188
2,21,185
2,22,181
2,23,178
2,24,180
2,25,181
2,26,182
2,27,184
2,28,186
2,29,188
2,30,190
2,31,191
2,32,182
2,33,185
2,34,187
2,35,183
2,36,170
2,37,151
2,38,131
2,39,118
2,40,121
2,41,119
2,42,116
2,43,116
2,44,122
2,45,133
2,46,144
2,47,151
2,48,146
2,49,145
2,50,143
2,51,139
2,52,133
2,53,125
2,54,118
2,55,114
2,56,101
2,57,109
2,58,117
2,59,121
2,60,123
2,61,130
2,62,142
2,63,152
2,64,143
2,65,141
2,66,138
2,67,134
2,68,130
2,69,126
2,70,123
2,71,121
2,72,132
2,73,132
2,74,133
2,75,138
2,76,147
2,77,159
2,78,170
2,79,178
2,80,179
2,81,179
2,82,179
2,83,179
2,84,179
2,85,179
2,86,179
2,87,179
2,88,180
2,89,181
2,90,181
2,91,181
2,92,182
2,93,182
2,94,183
2,95,183
2,96,177
2,97,178
2,98,177
2,99,168
2,100,151
2,101,126
2,102,102
2,103,88
2,104,81
2,105,80
2,106,79
2,107,79
2,108,83
2,109,88
2,110,94
2,111,98
2,112,83
2,113,82
2,114,82
2,115,84
2,116,88
2,117,95
2,118,102
2,119,106
2,120,105
2,121,110
2,122,119
2,123,130
2,124,132
2,125,118
2,126,93
2,127,74
2,128,70
2,129,59
2,130,54
2,131,71
2,132,105
2,133,134
2,134,147
2,135,147
2,136,119
2,137,76
2,138,51
2,139,62
2,140,73
2,141,74
2,142,93
2,143,124
2,144,137
2,145,147
2,146,150
2,147,138
2,148,116
2,149,105
3,0,166
3,1,166
3,2,166
3,3,167
3,4,170
3,5,175
3,6,180
3,7,183
3,8,161
3,9,155
3,10,147
3,11,143
3,12,145
3,13,154
3,14,165
3,15,173
3,16,191
3,17,191
3,18,189
3,19,187
3,20,184
3,21,180
3,22,177
3,23,175
3,24,178
3,25,179
3,26,180
3,27,181
3,28,183
3,29,184
3,30,185
3,31,186
3,32,185
3,33,186
3,34,185
3,35,178
3,36,161
3,37,138
3,38,116
3,39,102
3,40,113
3,41,112
3,42,111
3,43,113
3,44,122
3,45,135
3,46,148
3,47,156
3,48,164
3,49,162
3,50,158
3,51,153
3,52,147
3,53,140
3,54,135
3,55,132
3,56,105
3,57,106
3,58,107
3,59,109
3,60,114
3,61,124
3,62,135
3,63,144
3,64,151
3,65,150
3,66,148
3,67,145
3,68,142
3,69,139
3,70,137
3,71,136
3,72,145
3,73,148
3,74,154
3,75,162
3,76,172
3,77,183
3,78,192
3,79,198
3,80,180
3,81,180
3,82,180
3,83,180
3,84,180
3,85,180
3,86,180
3,87,180
3,88,181
3,89,182
3,90,182
3,91,182
3,92,183
3,93,183
3,94,184
3,95,184
3,96,179
3,97,172
3,98,159
3,99,141
3,100,118
3,101,95
3,102,75
3,103,64
3,104,55
3,105,54
3,106,54
3,107,56
3,108,60
3,109,67
3,110,73
3,111,78
3,112,80
3,113,78
3,114,76
3,115,76
3,116,78
3,117,83
3,118,88
3,119,92
3,120,96
3,121,104
3,122,118
3,123,129
3,124,130
3,125,119
3,126,102
3,127,89
3,128,58
3,129,51
3,130,50
3,131,66
3,132,93
3,133,117
3,134,127
3,135,127
3,136,129
3,137,87
3,138,54
3,139,55
3,140,65
3,141,76
3,142,101
3,143,131
3,144,139
3,145,144
3,146,144
3,147,132
3,148,115
3,149,107
4,0,169
4,1,166
4,2,163
4,3,161
4,4,162
4,5,167
4,6,172
4,7,176
4,8,156
4,9,149
4,10,139
4,11,134
4,12,136
4,13,146
4,14,159
4,15,168
4,16,191
4,17,189
4,18,186
4,19,182
4,20,179
4,21,177
4,22,175
4,23,175
4,24,179
4,25,179
4,26,179
4,27,180
4,28,181
4,29,182
4,30,182
4,31,183
4,32,192
4,33,191
4,34,185
4,35,174
4,36,156
4,37,134
4,38,114
4,39,102
4,40,101
4,41,99
4,42,99
4,43,104
4,44,113
4,45,128
4,46,142
4,47,150
4,48,157
4,49,154
4,50,150
4,51,144
4,52,139
4,53,135
4,54,133
4,55,131
4,56,108
4,57,101
4,58,94
4,59,93
4,60,99
4,61,110
4,62,121
4,63,126
4,64,137
4,65,137
4,66,136
4,67,134
4,68,132
4,69,131
4,70,130
4,71,129
4,72,138
4,73,143
4,74,152
4,75,163
4,76,173
4,77,182
4,78,187
4,79,190
4,80,188
4,81,188
4,82,188
4,83,188
4,84,188
4,85,188
4,86,188
4,87,188
4,88,191
4,89,190
4,90,190
4,91,189
4,92,188
4,93,187
4,94,187
4,95,186
4,96,183
4,97,167
4,98,141
4,99,113
4,100,90
4,101,76
4,102,70
4,103,69
4,104,62
4,105,61
4,106,61
4,107,63
4,108,67
4,109,74
4,110,81
4,111,85
4,112,80
4,113,77
4,114,72
4,115,67
4,116,64
4,117,65
4,118,66
4,119,68
4,120,79
4,121,90
4,122,105
4,123,116
4,124,120
4,125,117
4,126,112
4,127,109
4,128,70
4,129,69
4,130,75
4,131,92
4,132,114
4,133,133
4,134,142
4,135,145
4,136,145
4,137,108
4,138,74
4,139,69
4,140,79
4,141,94
4,142,119
4,143,143
4,144,128
4,145,128
4,146,125
4,147,115
4,148,104
4,149,101
5,0,173
5,1,168
5,2,162
5,3,157
5,4,156
5,5,160
5,6,166
5,7,170
5,8,171
5,9,162
5,10,151
5,11,144
5,12,146
5,13,158
5,14,172
5,15,183
5,16,188
5,17,185
5,18,181
5,19,178
5,20,176
5,21,175
5,22,177
5,23,178
5,24,182
5,25,182
5,26,182
5,27,182
5,28,182
5,29,182
5,30,182
5,31,183
5,32,195
5,33,189
5,34,178
5,35,163
5,36,147
5,37,131
5,38,118
5,39,111
5,40,113
5,41,111
5,42,111
5,43,115
5,44,125
5,45,139
5,46,153
5,47,162
5,48,153
5,49,150
5,50,146
5,51,142
5,52,139
5,53,139
5,54,140
5,55,140
5,56,137
5,57,123
5,58,107
5,59,101
5,60,107
5,61,119
5,62,127
5,63,130
5,64,130
5,65,130
5,66,130
5,67,130
5,68,129
5,69,129
5,70,129
5,71,128
5,72,137
5,73,144
5,74,156
5,75,168
5,76,177
5,77,182
5,78,183
5,79,183
5,80,193
5,81,193
5,82,193
5,83,193
5,84,193
5,85,193
5,86,193
5,87,193
5,88,198
5,89,197
5,90,194
5,91,191
5,92,188
5,93,184
5,94,182
5,95,181
5,96,170
5,97,150
5,98,119
5,99,90
5,100,72
5,101,69
5,102,75
5,103,81
5,104,66
5,105,64
5,106,63
5,107,64
5,108,67
5,109,72
5,110,78
5,111,82
5,112,101
5,113,96
5,114,89
5,115,83
5,116,78
5,117,76
5,118,76
5,119,77
5,120,86
5,121,96
5,122,109
5,123,116
5,124,119
5,125,124
5,126,132
5,127,140
5,128,115
5,129,114
5,130,115
5,131,117
5,132,119
5,133,119
5,134,117
5,135,114
5,136,127
5,137,99
5,138,72
5,139,66
5,140,75
5,141,91
5,142,108
5,143,122
5,144,132
5,145,129
5,146,123
5,147,117
5,148,113
5,149,115
6,0,183
6,1,177
6,2,168
6,3,161
6,4,159
6,5,162
6,6,168
6,7,172
6,8,183
6,9,173
6,10,161
6,11,153
6,12,155
6,13,167
6,14,183
6,15,194
6,16,183
6,17,180
6,18,176
6,19,174
6,20,173
6,21,176
6,22,179
6,23,182
6,24,185
6,25,185
6,26,185
6,27,185
6,28,185
6,29,184
6,30,184
6,31,184
6,32,189
6,33,179
6,34,163
6,35,145
6,36,131
6,37,123
6,38,120
6,39,119
6,40,103
6,41,101
6,42,100
6,43,104
6,44,113
6,45,126
6,46,140
6,47,148
6,48,159
6,49,156
6,50,152
6,51,150
6,52,150
6,53,153
6,54,157
6,55,160
6,56,141
6,57,121
6,58,98
6,59,88
6,60,94
6,61,105
6,62,111
6,63,112
6,64,136
6,65,136
6,66,136
6,67,137
6,68,138
6,69,138
6,70,138
6,71,139
6,72,148
6,73,156
6,74,169
6,75,181
6,76,188
6,77,190
6,78,187
6,79,185
6,80,191
6,81,191
6,82,191
6,83,191
6,84,191
