y_val,x_val,data_channel
0,0,164
0,1,161
0,2,162
0,3,160
0,4,156
0,5,155
0,6,153
0,7,154
0,8,158
0,9,160
0,10,156
0,11,156
0,12,162
0,13,159
0,14,145
0,15,137
0,16,137
0,17,157
0,18,157
0,19,159
0,20,168
0,21,173
0,22,178
0,23,176
0,24,166
0,25,167
0,26,167
0,27,165
0,28,164
0,29,165
0,30,166
0,31,166
0,32,164
0,33,165
0,34,164
0,35,161
0,36,163
0,37,176
0,38,191
0,39,199
0,40,195
0,41,188
0,42,178
0,43,169
0,44,163
0,45,161
0,46,161
0,47,159
0,48,154
0,49,160
0,50,156
0,51,158
0,52,166
0,53,167
0,54,168
0,55,171
0,56,165
0,57,159
0,58,130
0,59,112
0,60,110
0,61,112
0,62,107
0,63,115
0,64,108
0,65,110
0,66,106
0,67,103
0,68,102
0,69,99
0,70,96
0,71,95
0,72,91
0,73,96
0,74,87
0,75,80
0,76,78
0,77,76
0,78,75
0,79,74
0,80,73
0,81,74
0,82,75
0,83,77
0,84,78
0,85,77
0,86,75
0,87,74
0,88,71
0,89,72
0,90,69
0,91,72
0,92,71
0,93,68
0,94,71
0,95,71
0,96,70
0,97,71
0,98,72
0,99,74
0,100,75
0,101,76
0,102,78
0,103,79
0,104,81
0,105,82
0,106,83
0,107,84
0,108,84
0,109,83
0,110,81
0,111,79
0,112,77
0,113,84
0,114,89
0,115,90
0,116,88
0,117,87
0,118,85
0,119,83
0,120,79
0,121,80
0,122,83
0,123,88
0,124,95
0,125,101
0,126,105
0,127,106
0,128,105
0,129,107
0,130,110
0,131,113
0,132,115
0,133,116
0,134,113
0,135,110
0,136,106
0,137,107
0,138,108
0,139,110
0,140,112
0,141,112
0,142,107
0,143,101
0,144,95
0,145,94
0,146,92
0,147,91
0,148,85
0,149,88
1,0,163
1,1,158
1,2,157
1,3,154
1,4,152
1,5,152
1,6,152
1,7,153
1,8,157
1,9,158
1,10,155
1,11,156
1,12,162
1,13,160
1,14,148
1,15,137
1,16,135
1,17,149
1,18,153
1,19,158
1,20,166
1,21,172
1,22,176
1,23,170
1,24,164
1,25,164
1,26,164
1,27,162
1,28,162
1,29,163
1,30,164
1,31,163
1,32,162
1,33,163
1,34,162
1,35,161
1,36,167
1,37,182
1,38,194
1,39,196
1,40,187
1,41,179
1,42,170
1,43,163
1,44,159
1,45,158
1,46,159
