y_val,x_val,data_channel
0,0,164
0,1,162
0,2,161
0,3,168
0,4,174
0,5,178
0,6,182
0,7,184
0,8,191
0,9,203
0,10,198
0,11,196
0,12,186
0,13,142
0,14,96
0,15,99
0,16,99
0,17,102
0,18,104
0,19,111
0,20,124
0,21,135
0,22,149
0,23,164
0,24,156
0,25,146
0,26,146
0,27,147
0,28,147
0,29,151
0,30,144
0,31,135
0,32,116
0,33,111
0,34,107
0,35,107
0,36,108
0,37,107
0,38,108
0,39,114
0,40,119
0,41,135
0,42,149
0,43,156
0,44,158
0,45,157
0,46,169
0,47,190
0,48,185
0,49,186
0,50,187
0,51,182
0,52,181
0,53,180
0,54,178
0,55,185
0,56,185
0,57,186
0,58,186
0,59,185
0,60,182
0,61,179
0,62,174
0,63,169
0,64,168
0,65,168
0,66,166
0,67,160
0,68,151
0,69,142
0,70,136
0,71,134
0,72,130
0,73,131
0,74,132
0,75,132
0,76,130
0,77,129
0,78,128
0,79,128
0,80,127
0,81,130
0,82,133
0,83,133
0,84,131
0,85,131
0,86,132
0,87,134
0,88,134
0,89,133
0,90,131
0,91,130
0,92,130
0,93,130
0,94,130
0,95,130
0,96,127
0,97,127
0,98,127
0,99,126
0,100,127
0,101,127
0,102,127
0,103,127
0,104,129
0,105,129
0,106,129
0,107,129
0,108,130
0,109,132
0,110,136
0,111,138
0,112,142
0,113,148
0,114,157
0,115,169
0,116,179
0,117,185
0,118,190
0,119,196
0,120,193
0,121,192
0,122,191
0,123,193
0,124,194
0,125,192
0,126,188
0,127,184
0,128,184
0,129,180
0,130,159
0,131,140
0,132,131
0,133,127
0,134,129
0,135,126
0,136,123
0,137,121
0,138,118
0,139,115
0,140,113
0,141,112
0,142,114
0,143,117
0,144,112
0,145,114
0,146,114
0,147,119
0,148,121
0,149,127
1,0,168
1,1,160
1,2,163
1,3,172
1,4,179
1,5,182
1,6,182
1,7,190
1,8,199
1,9,203
1,10,199
1,11,192
1,12,168
1,13,116
1,14,108
1,15,114
1,16,128
1,17,131
1,18,132
1,19,136
1,20,142
1,21,145
1,22,151
1,23,162
1,24,156
1,25,142
1,26,139
1,27,141
1,28,141
1,29,143
1,30,141
1,31,139
