y_val,x_val,data_channel
0,0,92
0,1,92
0,2,93
0,3,95
0,4,95
0,5,94
0,6,92
0,7,91
0,8,89
0,9,94
0,10,94
0,11,92
0,12,91
0,13,90
0,14,89
0,15,90
0,16,91
0,17,110
0,18,127
0,19,134
0,20,135
0,21,134
0,22,131
0,23,130
0,24,129
0,25,127
0,26,126
0,27,127
0,28,127
0,29,126
0,30,123
0,31,122
0,32,120
0,33,124
0,34,122
0,35,119
0,36,121
0,37,124
0,38,126
0,39,129
0,40,123
0,41,111
0,42,103
0,43,102
0,44,107
0,45,113
0,46,118
0,47,126
0,48,140
0,49,147
0,50,147
0,51,143
0,52,142
0,53,142
0,54,141
0,55,144
0,56,144
0,57,144
0,58,146
0,59,147
0,60,144
0,61,143
0,62,144
0,63,143
0,64,141
0,65,142
0,66,142
0,67,142
0,68,141
0,69,140
0,70,141
0,71,141
0,72,139
0,73,140
0,74,141
0,75,142
0,76,143
0,77,143
0,78,142
0,79,142
0,80,140
0,81,140
0,82,139
0,83,137
0,84,135
0,85,133
0,86,133
0,87,133
0,88,134
0,89,139
0,90,140
0,91,136
0,92,131
0,93,131
0,94,132
0,95,134
0,96,131
0,97,136
0,98,137
0,99,134
0,100,136
0,101,142
0,102,145
0,103,144
0,104,143
0,105,143
0,106,143
0,107,143
0,108,143
0,109,142
0,110,142
0,111,141
0,112,141
0,113,144
0,114,144
0,115,142
0,116,142
0,117,140
0,118,140
0,119,144
0,120,138
0,121,141
0,122,142
0,123,140
0,124,138
0,125,138
0,126,139
0,127,140
0,128,140
0,129,141
0,130,142
0,131,142
0,132,142
0,133,143
0,134,142
0,135,140
0,136,135
0,137,136
0,138,136
0,139,136
0,140,139
0,141,146
0,142,144
0,143,132
0,144,134
0,145,136
0,146,136
0,147,138
0,148,143
0,149,143
1,0,90
1,1,92
1,2,94
1,3,95
1,4,95
1,5,95
1,6,94
1,7,94
1,8,94
1,9,93
1,10,92
1,11,92
1,12,93
1,13,90
1,14,87
1,15,89
1,16,98
1,17,113
1,18,126
1,19,132
1,20,135
1,21,135
1,22,133
1,23,132
1,24,129
1,25,126
1,26,125
1,27,125
1,28,125
1,29,124
1,30,122
1,31,121
1,32,123
1,33,124
1,34,121
1,35,119
1,36,121
1,37,124
1,38,126
1,39,128
1,40,119
1,41,107
1,42,101
1,43,100
1,44,102
1,45,105
1,46,106
1,47,111
1,48,122
1,49,130
1,50,134
1,51,137
1,52,143
1,53,145
1,54,143
1,55,144
1,56,145
1,57,143
1,58,142
1,59,142
1,60,143
1,61,144
1,62,145
1,63,144
1,64,141
1,65,141
1,66,142
1,67,142
1,68,141
1,69,141
1,70,141
1,71,141
1,72,141
1,73,141
1,74,141
1,75,141
1,76,141
1,77,142
1,78,142
1,79,142
1,80,141
1,81,141
1,82,140
1,83,138
1,84,136
1,85,134
1,86,133
1,87,132
1,88,134
1,89,137
1,90,139
1,91,138
1,92,136
1,93,135
1,94,134
1,95,132
1,96,134
1,97,134
1,98,134
1,99,135
1,100,137
1,101,139
1,102,143
1,103,145
1,104,145
1,105,144
1,106,144
1,107,144
1,108,144
1,109,144
1,110,142
1,111,141
1,112,144
1,113,145
1,114,144
1,115,142
1,116,141
1,117,140
1,118,140
1,119,143
1,120,142
1,121,140
1,122,139
1,123,139
1,124,138
1,125,136
1,126,137
1,127,141
1,128,140
1,129,141
1,130,142
1,131,141
1,132,141
1,133,142
1,134,141
1,135,140
1,136,136
1,137,137
1,138,136
1,139,136
1,140,138
1,141,144
1,142,143
1,143,135
1,144,134
1,145,137
1,146,138
1,147,139
1,148,142
1,149,143
2,0,87
2,1,90
2,2,93
2,3,95
2,4,95
2,5,95
2,6,96
2,7,97
2,8,96
2,9,92
2,10,89
2,11,91
2,12,92
2,13,88
2,14,86
2,15,91
2,16,104
2,17,119
2,18,133
2,19,137
2,20,136
2,21,133
2,22,132
2,23,133
2,24,129
2,25,127
2,26,125
2,27,125
2,28,124
2,29,123
2,30,122
2,31,122
2,32,126
2,33,124
2,34,121
2,35,121
2,36,124
2,37,127
2,38,127
2,39,127
2,40,119
2,41,106
2,42,99
2,43,97
2,44,96
2,45,99
2,46,100
2,47,103
2,48,106
2,49,111
2,50,115
2,51,121
2,52,131
2,53,138
2,54,141
2,55,146
2,56,144
2,57,142
2,58,142
2,59,141
2,60,141
2,61,144
2,62,146
2,63,143
2,64,141
2,65,141
2,66,142
2,67,142
2,68,142
2,69,141
2,70,141
2,71,140
2,72,141
2,73,141
2,74,141
2,75,141
2,76,141
2,77,142
2,78,142
2,79,142
2,80,141
2,81,141
2,82,140
2,83,139
2,84,137
2,85,136
2,86,134
2,87,133
2,88,132
2,89,135
2,90,137
2,91,139
2,92,141
2,93,141
2,94,138
2,95,133
2,96,135
2,97,133
2,98,133
2,99,135
2,100,138
2,101,139
2,102,142
2,103,145
2,104,145
2,105,144
2,106,144
2,107,145
2,108,146
2,109,145
2,110,144
2,111,142
2,112,145
2,113,145
2,114,144
2,115,143
2,116,143
2,117,141
